,Relationship,Categorisation_source,Dimensions_source,Form_source,Free_of_source,Material_source,Specifications_source,Title_source,full_community_id_source,name_source,Ar_target,AtomicNumber_target,Category_target,Density_target,EDescription_target,GDescription_target,MeltingPoint_target,Series_target,Symbol_target,full_community_id_target,name_target
19,IS_PROCESSED_WITH,Tin,Clove,Uncoated,Tin,No. 1 Copper Wire Nodules,Nonferrous Scrap - Red Metals,Gauge smaller than No. 16 B & S wire subject to agreement between buyer and seller,[Copper ,Wire scrap nodules,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
20,IS_COMPOSED_OF,Tin,Clove,Uncoated,Tin,No. 1 Copper Wire Nodules,Nonferrous Scrap - Red Metals,Gauge smaller than No. 16 B & S wire subject to agreement between buyer and seller,[Copper ,Wire scrap nodules,,,,,,,,,,COPPER,COPPER
21,IS_EQUIVALENT_TO,Nonferrous Scrap - Red Metals,,Unalloyed,,No. 2 Copper Wire Nodules,Nonferrous Scrap - Red Metals,Cobra,Copper ,Wire scrap nodules,,,COPPER COBRA AS PER ISRI FROM PRODUCTION,,,COPPER COBRA AS PER ISRI FROM PRODUCTION,,,,60097,Non-Ferrous
22,IS_EQUIVALENT_TO,Nonferrous Scrap - Red Metals,,Unalloyed,,No. 2 Copper Wire Nodules,Nonferrous Scrap - Red Metals,Cobra,Copper ,Wire scrap nodules,,,COPPER SCRAP COBRA AS PER ISRI,,Non-Ferrous,COPPER SCRAP COBRA AS PER ISRI,,,,50027,ΣΚΡΑΠ ΧΑΛΚΟΥ B2 ΤΡΙΜΜΑ
23,IS_PROCESSED_WITH,Nonferrous Scrap - Red Metals,,Unalloyed,,No. 2 Copper Wire Nodules,Nonferrous Scrap - Red Metals,Cobra,Copper ,Wire scrap nodules,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
24,IS_COMPOSED_OF,Nonferrous Scrap - Red Metals,,Unalloyed,,No. 2 Copper Wire Nodules,Nonferrous Scrap - Red Metals,Cobra,Copper ,Wire scrap nodules,,,,,,,,,,COPPER,COPPER
25,IS_PROCESSED_WITH,Excessive insulation and other non-metallics,,Unalloyed,Excessive insulation and other non-metallics,Copper Wire Nodules,Nonferrous Scrap - Red Metals,Cocoa,Copper ,Wire scrap nodules,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
26,IS_PROCESSED_WITH,Burnt hair wire; copper clad; plating racks; grindings; copper wire from burning,,Unalloyed. Nominal 92% copper content (minimum 88%),Burnt hair wire; copper clad; plating racks; grindings; copper wire from burning,Light Copper,Nonferrous Scrap - Red Metals,Dream,Copper ,Miscellaneous scrap,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
27,IS_PROCESSED_WITH,Insulated wire,,a minimum of 61.3% copper and maximum 5% iron,Insulated wire,Refinery Brass,Nonferrous Scrap - Red Metals,Drink,Brass,Solids and turnings and alloyed and contaminated copper scrap,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
28,IS_PROCESSED_WITH,Nonferrous Scrap - Red Metals,,with various types of insulation. To be sold on a sample or recovery basis,,Insulated Copper Wire Scrap,Nonferrous Scrap - Red Metals,Droid,Copper ,Wire ,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
