,Relationship,Categorisation_source,Dimensions_source,Form_source,Free_of_source,Material_source,Specifications_source,Title_source,full_community_id_source,name_source,Ar_target,AtomicNumber_target,Category_target,Density_target,EDescription_target,GDescription_target,MeltingPoint_target,Series_target,Symbol_target,full_community_id_target,name_target
80,IS_COMPOSED_OF,Foreign substances,,Old. Soldered or unsoldered. Must not be trimmed seams alone.,Foreign substances,Old Nickel Silver,Nonferrous Scrap - Red Metals,Malic,Nickel Silver,Sheet,,,,,,,,,,NICKEL SILVER,NICKEL SILVER
81,IS_PROCESSED_WITH,Plated and soldered materials or pipes with cast brass connections,,To be sound,Plated and soldered materials or pipes with cast brass connections,Brass Pipe,Nonferrous Scrap - Red Metals,Melon,Brass,Pipe ,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
82,IS_COMPOSED_OF,Plated and soldered materials or pipes with cast brass connections,,To be sound,Plated and soldered materials or pipes with cast brass connections,Brass Pipe,Nonferrous Scrap - Red Metals,Melon,Brass,Pipe ,,,,,,,,,,BRASS,BRASS
83,IS_PROCESSED_WITH,Nonferrous Scrap - Red Metals,,To be packed and sold separately,,Nickel Silver Castings,Nonferrous Scrap - Red Metals,Naggy,Nickel Silver,Castings,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
84,IS_COMPOSED_OF,Nonferrous Scrap - Red Metals,,To be packed and sold separately,,Nickel Silver Castings,Nonferrous Scrap - Red Metals,Naggy,Nickel Silver,Castings,,,,,,,,,,NICKEL SILVER,NICKEL SILVER
85,IS_PROCESSED_WITH,Nonferrous Scrap - Red Metals,,To be sold by sample or analysis,,null,Nonferrous Scrap - Red Metals,Niece,Nickel Silver,Turnings,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
86,IS_COMPOSED_OF,Nonferrous Scrap - Red Metals,,To be sold by sample or analysis,,null,Nonferrous Scrap - Red Metals,Niece,Nickel Silver,Turnings,,,,,,,,,,NICKEL SILVER,NICKEL SILVER
87,IS_PROCESSED_WITH,Nonferrous Scrap - Red Metals,,Alloyed with copper,,Leaded Brass Scrap Turnings,Nonferrous Scrap - Red Metals,Nascent,Leaded Brass,Borings and turnings,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
88,IS_COMPOSED_OF,Nonferrous Scrap - Red Metals,,Alloyed with copper,,Leaded Brass Scrap Turnings,Nonferrous Scrap - Red Metals,Nascent,Leaded Brass,Borings and turnings,,,,,,,,,,LEADED BRASS,LEADED BRASS
89,IS_PROCESSED_WITH,Nonferrous Scrap - Red Metals,,Alloyed with copper,,Leaded Brass Scrap Rod Ends and Forgings,Nonferrous Scrap - Red Metals,Niche,Leaded Brass,Rod ends and forgings,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
90,IS_COMPOSED_OF,Nonferrous Scrap - Red Metals,,Alloyed with copper,,Leaded Brass Scrap Rod Ends and Forgings,Nonferrous Scrap - Red Metals,Niche,Leaded Brass,Rod ends and forgings,,,,,,,,,,LEADED BRASS,LEADED BRASS
91,IS_PROCESSED_WITH,Aluminum,,Not to contain over 3% free iron,Aluminum,Yellow Brass Rod Turnings,Nonferrous Scrap - Red Metals,Night,Yellow brass,Rod turnings (strictly),,,,,,,,,,Pyrometallurgical,Pyrometallurgical
92,IS_COMPOSED_OF,Aluminum,,Not to contain over 3% free iron,Aluminum,Yellow Brass Rod Turnings,Nonferrous Scrap - Red Metals,Night,Yellow brass,Rod turnings (strictly),,,,,,,,,,YELLOW BRASS,YELLOW BRASS
93,IS_PROCESSED_WITH,Turning brass rods or forging rods,Noble,New ,Turning brass rods or forging rods,Yellow Brass Rod Ends,Nonferrous Scrap - Red Metals,Pieces not larger than 12�,Yellow brass,Rod ends,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
94,IS_COMPOSED_OF,Turning brass rods or forging rods,Noble,New ,Turning brass rods or forging rods,Yellow Brass Rod Ends,Nonferrous Scrap - Red Metals,Pieces not larger than 12�,Yellow brass,Rod ends,,,,,,,,,,YELLOW BRASS,YELLOW BRASS
95,IS_PROCESSED_WITH,Aluminum,,Not to contain over 3% of free iron,Aluminum,Yellow Brass Turnings,Nonferrous Scrap - Red Metals,Nomad,Yellow brass,Turnings,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
96,IS_COMPOSED_OF,Aluminum,,Not to contain over 3% of free iron,Aluminum,Yellow Brass Turnings,Nonferrous Scrap - Red Metals,Nomad,Yellow brass,Turnings,,,,,,,,,,YELLOW BRASS,YELLOW BRASS
97,IS_EQUIVALENT_TO,Aluminum radiators,,Mixed automobile radiators. All radiators to be subject to deduction of actual iron. The tonnage specification should cover the gross weight of the radiators,Aluminum radiators,,Nonferrous Scrap - Red Metals,Ocean,Mixed Unsweated Auto Radiators,Radiators,,,BRASS SCRAP OCEAN AS PER ISRI,,Non-Ferrous,BRASS SCRAP OCEAN AS PER ISRI,,,,50049,ΣΚΡΑΠ ΨΥΓΕΙΩΝ ΧΑΛΚΟΥ/ΟΡΕΙΧΑΛΚΟΥ
98,IS_EQUIVALENT_TO,Aluminum radiators,,Mixed automobile radiators. All radiators to be subject to deduction of actual iron. The tonnage specification should cover the gross weight of the radiators,Aluminum radiators,,Nonferrous Scrap - Red Metals,Ocean,Mixed Unsweated Auto Radiators,Radiators,,,BRASS SCRAP OCEAN AS PER ISRI ELV,,,BRASS SCRAP OCEAN AS PER ISRI ELV,,,,60134,Non-Ferrous
99,CONTAINS,Aluminum radiators,,Mixed automobile radiators. All radiators to be subject to deduction of actual iron. The tonnage specification should cover the gross weight of the radiators,Aluminum radiators,,Nonferrous Scrap - Red Metals,Ocean,Mixed Unsweated Auto Radiators,Radiators,1085,319,,29,,,1085,,63.546,COPPER,Cu
100,IS_PROCESSED_WITH,Aluminum radiators,,Mixed automobile radiators. All radiators to be subject to deduction of actual iron. The tonnage specification should cover the gross weight of the radiators,Aluminum radiators,,Nonferrous Scrap - Red Metals,Ocean,Mixed Unsweated Auto Radiators,Radiators,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
101,IS_EQUIVALENT_TO,Excessive corroded material as mutually agreed,,Clean. May be plated or unplated,Excessive corroded material as mutually agreed,Brass Condenser Tubes,Nonferrous Scrap - Red Metals,Pales,Brass,Condenser tubes,,,BRASS SCRAP PALES AS PER ISRI,,Non-Ferrous,BRASS SCRAP PALES AS PER ISRI,,,,50051,ΣΚΡΑΠ ΣΩΛΗΝΑΚΙ ΟΡΕΙΧΑΛΚΟΥ MS(Sn)
102,IS_PROCESSED_WITH,Excessive corroded material as mutually agreed,,Clean. May be plated or unplated,Excessive corroded material as mutually agreed,Brass Condenser Tubes,Nonferrous Scrap - Red Metals,Pales,Brass,Condenser tubes,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
103,IS_PROCESSED_WITH,Nickel alloy and corroded material,,Clean. May be plated or unplated,Nickel alloy and corroded material,Aluminum Brass Condenser Tubes,Nonferrous Scrap - Red Metals,Pallu,Aluminum Brass,Condenser tubes,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
104,IS_COMPOSED_OF,Nickel alloy and corroded material,,Clean. May be plated or unplated,Nickel alloy and corroded material,Aluminum Brass Condenser Tubes,Nonferrous Scrap - Red Metals,Pallu,Aluminum Brass,Condenser tubes,,,,,,,,,,ALUMINUM BRASS,ALUMINUM BRASS
105,IS_PROCESSED_WITH,Nickel alloy,,Clean,Nickel alloy,Muntz Metal Tubes,Nonferrous Scrap - Red Metals,Palms,Muntz metal ,Tubes,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
106,IS_COMPOSED_OF,Nickel alloy,,Clean,Nickel alloy,Muntz Metal Tubes,Nonferrous Scrap - Red Metals,Palms,Muntz metal ,Tubes,,,,,,,,,,MUNTZ METAL,MUNTZ METAL
107,IS_PROCESSED_WITH,Aluminum bronze and silicon bronze.,,Copper content of not less than 55%,Aluminum bronze and silicon bronze.,Manganese Bronze Solids,Nonferrous Scrap - Red Metals,Parch,Manganese bronze,Solids ,,,,,,,,,,Pyrometallurgical,Pyrometallurgical
108,IS_COMPOSED_OF,Aluminum bronze and silicon bronze.,,Copper content of not less than 55%,Aluminum bronze and silicon bronze.,Manganese Bronze Solids,Nonferrous Scrap - Red Metals,Parch,Manganese bronze,Solids ,,,,,,,,,,MANGANESE BRONZE,MANGANESE BRONZE
109,IS_COMPOSED_OF,paper,,Clean. To consist of 1000 and/or 3000 series alloys,paper,Clean Aluminum Lithographic Sheets,Nonferrous Scrap - Aluminum,Tablet,Aluminum ,Lithographic Sheets,,,,,,,,,,ALUMINUM,ALUMINUM
110,IS_COMPOSED_OF,paper,,Clean. To consist of 1000 and/or 3000 series alloys,paper,Clean Aluminum Lithographic Sheets,Nonferrous Scrap - Aluminum,Tablet,Aluminum ,Lithographic Sheets,,,,,,,,3000,,3102,3000
111,IS_COMPOSED_OF,paper,,Clean. To consist of 1000 and/or 3000 series alloys,paper,Clean Aluminum Lithographic Sheets,Nonferrous Scrap - Aluminum,Tablet,Aluminum ,Lithographic Sheets,,,,,,,,3000,,3003,3000
112,IS_COMPOSED_OF,paper,,Clean. To consist of 1000 and/or 3000 series alloys,paper,Clean Aluminum Lithographic Sheets,Nonferrous Scrap - Aluminum,Tablet,Aluminum ,Lithographic Sheets,,,,,,,,3000,,3004,3000
113,IS_COMPOSED_OF,paper,,Clean. To consist of 1000 and/or 3000 series alloys,paper,Clean Aluminum Lithographic Sheets,Nonferrous Scrap - Aluminum,Tablet,Aluminum ,Lithographic Sheets,,,,,,,,3000,,3203,3000
114,IS_COMPOSED_OF,paper,,Clean. To consist of 1000 and/or 3000 series alloys,paper,Clean Aluminum Lithographic Sheets,Nonferrous Scrap - Aluminum,Tablet,Aluminum ,Lithographic Sheets,,,,,,,,3000,,3005,3000
115,IS_COMPOSED_OF,paper,,Clean. To consist of 1000 and/or 3000 series alloys,paper,Clean Aluminum Lithographic Sheets,Nonferrous Scrap - Aluminum,Tablet,Aluminum ,Lithographic Sheets,,,,,,,,3000,,3105,3000
116,IS_COMPOSED_OF,paper,,Clean. To consist of 1000 and/or 3000 series alloys,paper,Clean Aluminum Lithographic Sheets,Nonferrous Scrap - Aluminum,Tablet,Aluminum ,Lithographic Sheets,,,,,,,,3000,,3103,3000
117,IS_COMPOSED_OF,paper,,Clean. To consist of 1000 and/or 3000 series alloys,paper,Clean Aluminum Lithographic Sheets,Nonferrous Scrap - Aluminum,Tablet,Aluminum ,Lithographic Sheets,,,,,,,,3000,,3303,3000
118,IS_COMPOSED_OF,paper,,Clean. To consist of 1000 and/or 3000 series alloys,paper,Clean Aluminum Lithographic Sheets,Nonferrous Scrap - Aluminum,Tablet,Aluminum ,Lithographic Sheets,,,,,,,,1000,,1070,1000
119,IS_COMPOSED_OF,paper,,Clean. To consist of 1000 and/or 3000 series alloys,paper,Clean Aluminum Lithographic Sheets,Nonferrous Scrap - Aluminum,Tablet,Aluminum ,Lithographic Sheets,,,,,,,,1000,,1350,1000
120,IS_COMPOSED_OF,paper,,Clean. To consist of 1000 and/or 3000 series alloys,paper,Clean Aluminum Lithographic Sheets,Nonferrous Scrap - Aluminum,Tablet,Aluminum ,Lithographic Sheets,,,,,,,,1000,,1230,1000
121,IS_COMPOSED_OF,paper,,Clean. To consist of 1000 and/or 3000 series alloys,paper,Clean Aluminum Lithographic Sheets,Nonferrous Scrap - Aluminum,Tablet,Aluminum ,Lithographic Sheets,,,,,,,,1000,,1060,1000
122,IS_COMPOSED_OF,paper,,Clean. To consist of 1000 and/or 3000 series alloys,paper,Clean Aluminum Lithographic Sheets,Nonferrous Scrap - Aluminum,Tablet,Aluminum ,Lithographic Sheets,,,,,,,,1000,,1050,1000
123,IS_COMPOSED_OF,paper,,Clean. To consist of 1000 and/or 3000 series alloys,paper,Clean Aluminum Lithographic Sheets,Nonferrous Scrap - Aluminum,Tablet,Aluminum ,Lithographic Sheets,,,,,,,,1000,,1370,1000
124,IS_COMPOSED_OF,paper,,Clean. To consist of 1000 and/or 3000 series alloys,paper,Clean Aluminum Lithographic Sheets,Nonferrous Scrap - Aluminum,Tablet,Aluminum ,Lithographic Sheets,,,,,,,,1000,,1145,1000
125,IS_COMPOSED_OF,paper,,Clean. To consist of 1000 and/or 3000 series alloys,paper,Clean Aluminum Lithographic Sheets,Nonferrous Scrap - Aluminum,Tablet,Aluminum ,Lithographic Sheets,,,,,,,,1000,,1199,1000
126,IS_COMPOSED_OF,paper,,Clean. To consist of 1000 and/or 3000 series alloys,paper,Clean Aluminum Lithographic Sheets,Nonferrous Scrap - Aluminum,Tablet,Aluminum ,Lithographic Sheets,,,,,,,,1000,,1100,1000
127,IS_COMPOSED_OF,paper,Tabloid,New,paper,New,Nonferrous Scrap - Aluminum,Minimum size of 3� (8 cm) in any direction,Aluminum,Lithographic Sheets,,,,,,,,1000,,1370,1000
128,IS_COMPOSED_OF,paper,Tabloid,New,paper,New,Nonferrous Scrap - Aluminum,Minimum size of 3� (8 cm) in any direction,Aluminum,Lithographic Sheets,,,,,,,,1000,,1199,1000
129,IS_COMPOSED_OF,paper,Tabloid,New,paper,New,Nonferrous Scrap - Aluminum,Minimum size of 3� (8 cm) in any direction,Aluminum,Lithographic Sheets,,,,,,,,1000,,1070,1000
130,IS_COMPOSED_OF,paper,Tabloid,New,paper,New,Nonferrous Scrap - Aluminum,Minimum size of 3� (8 cm) in any direction,Aluminum,Lithographic Sheets,,,,,,,,1000,,1350,1000
131,IS_COMPOSED_OF,paper,Tabloid,New,paper,New,Nonferrous Scrap - Aluminum,Minimum size of 3� (8 cm) in any direction,Aluminum,Lithographic Sheets,,,,,,,,1000,,1100,1000
132,IS_COMPOSED_OF,paper,Tabloid,New,paper,New,Nonferrous Scrap - Aluminum,Minimum size of 3� (8 cm) in any direction,Aluminum,Lithographic Sheets,,,,,,,,1000,,1230,1000
133,IS_COMPOSED_OF,paper,Tabloid,New,paper,New,Nonferrous Scrap - Aluminum,Minimum size of 3� (8 cm) in any direction,Aluminum,Lithographic Sheets,,,,,,,,1000,,1050,1000
134,IS_COMPOSED_OF,paper,Tabloid,New,paper,New,Nonferrous Scrap - Aluminum,Minimum size of 3� (8 cm) in any direction,Aluminum,Lithographic Sheets,,,,,,,,1000,,1060,1000
135,IS_COMPOSED_OF,paper,Tabloid,New,paper,New,Nonferrous Scrap - Aluminum,Minimum size of 3� (8 cm) in any direction,Aluminum,Lithographic Sheets,,,,,,,,1000,,1145,1000
136,IS_COMPOSED_OF,paper,Tabloid,New,paper,New,Nonferrous Scrap - Aluminum,Minimum size of 3� (8 cm) in any direction,Aluminum,Lithographic Sheets,,,,,,,,3000,,3005,3000
137,IS_COMPOSED_OF,paper,Tabloid,New,paper,New,Nonferrous Scrap - Aluminum,Minimum size of 3� (8 cm) in any direction,Aluminum,Lithographic Sheets,,,,,,,,3000,,3003,3000
138,IS_COMPOSED_OF,paper,Tabloid,New,paper,New,Nonferrous Scrap - Aluminum,Minimum size of 3� (8 cm) in any direction,Aluminum,Lithographic Sheets,,,,,,,,3000,,3102,3000
139,IS_COMPOSED_OF,paper,Tabloid,New,paper,New,Nonferrous Scrap - Aluminum,Minimum size of 3� (8 cm) in any direction,Aluminum,Lithographic Sheets,,,,,,,,3000,,3105,3000
140,IS_COMPOSED_OF,paper,Tabloid,New,paper,New,Nonferrous Scrap - Aluminum,Minimum size of 3� (8 cm) in any direction,Aluminum,Lithographic Sheets,,,,,,,,3000,,3004,3000
141,IS_COMPOSED_OF,paper,Tabloid,New,paper,New,Nonferrous Scrap - Aluminum,Minimum size of 3� (8 cm) in any direction,Aluminum,Lithographic Sheets,,,,,,,,3000,,3303,3000
142,IS_COMPOSED_OF,paper,Tabloid,New,paper,New,Nonferrous Scrap - Aluminum,Minimum size of 3� (8 cm) in any direction,Aluminum,Lithographic Sheets,,,,,,,,3000,,3103,3000
143,IS_COMPOSED_OF,paper,Tabloid,New,paper,New,Nonferrous Scrap - Aluminum,Minimum size of 3� (8 cm) in any direction,Aluminum,Lithographic Sheets,,,,,,,,3000,,3203,3000
144,IS_COMPOSED_OF,paper,Tabloid,New,paper,New,Nonferrous Scrap - Aluminum,Minimum size of 3� (8 cm) in any direction,Aluminum,Lithographic Sheets,,,,,,,,,,ALUMINUM,ALUMINUM
145,IS_EQUIVALENT_TO,foil,,Clean old alloy aluminum of two or more alloys. Oil and grease not to total more than 1%. Up to 10% Tale permitted.,foil,Clean Mixed Old Alloy Sheet Aluminum,Nonferrous Scrap - Aluminum,Taint/Tabor,Aluminum ,Sheet,,,ΤΑΙΝΤ ΤΑΒΟR SCRAP MIXED FROM TLB,,,ΤΑΙΝΤ ΤΑΒΟR SCRAP MIXED FROM TLB,,,,60160,Non-Ferrous
146,IS_EQUIVALENT_TO,foil,,Clean old alloy aluminum of two or more alloys. Oil and grease not to total more than 1%. Up to 10% Tale permitted.,foil,Clean Mixed Old Alloy Sheet Aluminum,Nonferrous Scrap - Aluminum,Taint/Tabor,Aluminum ,Sheet,,,ALUMINUM SCRAP TAINT TABOR AS PER ISRI E,,,ALUMINUM SCRAP TAINT TABOR AS PER ISRI E,,,,50121,Non-Ferrous
147,IS_COMPOSED_OF,Lids with sealers,,Low copper,Lids with sealers,New Aluminum Can Stock,Nonferrous Scrap - Aluminum,Take,Aluminum ,Cans and clippings ,,,,,,,,,,ALUMINUM,ALUMINUM
148,IS_COMPOSED_OF,Plastic coating,,Clean,Plastic coating,Painted Siding,Nonferrous Scrap - Aluminum,Tale,Aluminum,Siding scrap ,,,,,,,,,,ALUMINUM,ALUMINUM
149,IS_EQUIVALENT_TO,Brass tubing,,Clean,Brass tubing,Aluminum Copper Radiators,Nonferrous Scrap - Aluminum,Talk,Aluminum/Copper,Radiators,,,ALUMINUM SCRAP TALK AS AS PER ISRI,,Non-Ferrous,ALUMINUM SCRAP TALK AS AS PER ISRI,,,,50058,ΣΚΡΑΠ ΨΥΓΕΙΩΝ ΑΛΟΥΜΙΝΙΟΥ/ΧΑΛΚΟΥ
150,IS_EQUIVALENT_TO,Brass tubing,,Clean,Brass tubing,Aluminum Copper Radiators,Nonferrous Scrap - Aluminum,Talk,Aluminum/Copper,Radiators,,,ALUMINUM SCRAP TALK AS AS PER ISRI(E),,,ALUMINUM SCRAP TALK AS AS PER ISRI(E),,,,50193,Non-Ferrous
151,IS_EQUIVALENT_TO,Brass tubing,,Clean,Brass tubing,Aluminum Copper Radiators,Nonferrous Scrap - Aluminum,Talk,Aluminum/Copper,Radiators,,,ALUMINUM SCRAP TALK AS AS PER ISRI(RAW),,Non-Ferrous,ALUMINUM SCRAP TALK AS AS PER ISRI(RAW),,,,40093,ΣΚΡΑΠ ΨΥΓΕΙΩΝ ΑΛΟΥΜΙΝΙΟΥ/ΧΑΛΚΟΥ(ΥΛΗ)
152,IS_COMPOSED_OF,Screening,,Clean,Screening,E.C. Aluminum Nodules,Nonferrous Scrap - Aluminum,Tall,Aluminum,E.C. ,,,,,,,,,,ALUMINUM,ALUMINUM
153,IS_EQUIVALENT_TO,All other types of radiators,,Clean. All contaminants including iron,All other types of radiators,All Aluminum Radiators From Automobiles,Nonferrous Scrap - Aluminum,Tally,Aluminum,Radiators and condensers,,,ALUMINUM SCRAP TALLY AS PER ISRI,,,ALUMINUM SCRAP TALLY AS PER ISRI,,,,50066,Non-Ferrous
154,IS_EQUIVALENT_TO,All other types of radiators,,Clean. All contaminants including iron,All other types of radiators,All Aluminum Radiators From Automobiles,Nonferrous Scrap - Aluminum,Tally,Aluminum,Radiators and condensers,,,ALUMINUM SCRAP TALLY AS PER ISRI ELV,,,ALUMINUM SCRAP TALLY AS PER ISRI ELV,,,,60132,Non-Ferrous
155,IS_COMPOSED_OF,Hair wire,,New,Hair wire,New Pure Aluminum Wire and Cable,Nonferrous Scrap - Aluminum,Talon,Aluminum,Wire and Cable ,,,,,,,,,,ALUMINUM,ALUMINUM
156,IS_COMPOSED_OF,Hair wire,,New,Hair wire,New Mixed Aluminum Wire and Cable,Nonferrous Scrap - Aluminum,Tann,Aluminum,Wire and Cable ,,,,,,,,,,ALUMINUM,ALUMINUM
157,IS_COMPOSED_OF,Hair wire,,Old,Hair wire,Old Pure Aluminum Wire and Cable,Nonferrous Scrap - Aluminum,Taste,Aluminum,Wire and Cable ,,,,,,,,,,ALUMINUM,ALUMINUM
158,IS_COMPOSED_OF,Any foreign contamination,,Consists of one alloy (typically 6063). Material may contain �butt ends� from the extrusion process. Anodized material is acceptable.,Any foreign contamination,New Production Aluminum Extrusions,Nonferrous Scrap - Aluminum,Tata,Aluminum,Extrusions,,,,,,,,,,ALUMINUM,ALUMINUM
159,IS_COMPOSED_OF,Other alloys of aluminum,,Material to consist of new production and old/used 6063 extrusions that may contain up to (but not exceed) 10 percent painted extrusions and 10 percent 6061 alloy extrusions.,Other alloys of aluminum,Aluminum Extrusions 10/10,Nonferrous Scrap - Aluminum,Toto,Aluminum,Extrusions,,,,,,,,,,ALUMINUM,ALUMINUM
160,IS_COMPOSED_OF,Iron,,Old extruded aluminum of one alloy,Iron,Aluminum Extrusions Dealer Grade,Nonferrous Scrap - Aluminum,Tutu,Aluminum,Extrusions,,,,,,,,,,ALUMINUM,ALUMINUM
161,IS_EQUIVALENT_TO,Iron,,Clean aluminum castings which may contain auto and airplane castings but no ingots. Oil and grease not to total more than 2%.,Iron,Mixed Aluminum Castings,Nonferrous Scrap - Aluminum,Tense,Aluminum,Castings,,,ALUMINUM SCRAP TENSE AS PER ISRI(E),,,ALUMINUM SCRAP TENSE AS PER ISRI(E),,,,50131,Non-Ferrous
162,IS_EQUIVALENT_TO,Iron,,Clean aluminum castings which may contain auto and airplane castings but no ingots. Oil and grease not to total more than 2%.,Iron,Mixed Aluminum Castings,Nonferrous Scrap - Aluminum,Tense,Aluminum,Castings,,,ALUMINUM SCRAP TENSE AS PER ISRI,,Non-Ferrous,ALUMINUM SCRAP TENSE AS PER ISRI,,,,50061,ΣΚΡΑΠ ΣΚΛΗΡΟΥ ΑΛΟΥΜΙΝΙΟΥ
163,IS_COMPOSED_OF,Anodized foil,,Clean,Anodized foil,New Aluminum Foil,Nonferrous Scrap - Aluminum,Terse,Aluminum,Foil,,,,,,,,,,ALUMINUM,ALUMINUM
164,IS_COMPOSED_OF,Radar chaff foil,,Baled old household aluminum foil and formed foil containers of uncoated 1000,Radar chaff foil,Post Consumer Aluminum Foil,Nonferrous Scrap - Aluminum,Tesla,Aluminum,Foil,,,,,,,,,,ALUMINUM,ALUMINUM
165,IS_COMPOSED_OF,Corrosion,,Aluminum scrap which has been sweated or melted into a form or shape such as an ingot,Corrosion,Sweated Aluminum,Nonferrous Scrap - Aluminum,Throb,Aluminum,Aluminum Scrap ,,,,,,,,,,ALUMINUM,ALUMINUM
166,IS_COMPOSED_OF,Hair wire,Tooth,New,Hair wire,Segregated New Aluminum Alloy Clippings and Solids,Nonferrous Scrap - Aluminum,Minimum thickness of .015� (.38 mm),Aluminum,Clippings and Solids,,,,,,,,,,ALUMINUM,ALUMINUM
167,IS_COMPOSED_OF,Hair wire,Tough,New,Hair wire,Mixed New Aluminum Alloy Clippings and Solids,Nonferrous Scrap - Aluminum,Minimum thickness of .015� (.38 mm),Aluminum,Clippings and Solids,,,,,,,,,,ALUMINUM,ALUMINUM
168,IS_EQUIVALENT_TO,Sawings,,New,Sawings,null,Nonferrous Scrap - Aluminum,Tread,Aluminum,Castings,,,ALUMINUM SCRAP TREAD AS PER ISRI(E),,,ALUMINUM SCRAP TREAD AS PER ISRI(E),,,,50192,Non-Ferrous
169,IS_EQUIVALENT_TO,Sawings,,New,Sawings,null,Nonferrous Scrap - Aluminum,Tread,Aluminum,Castings,,,ALUMINUM SCRAP TREAD AS PER ISRI,,Non-Ferrous,ALUMINUM SCRAP TREAD AS PER ISRI,,,,50057,ΣΚΡΑΠ ΠΡΟΦΙΛ ΑΛΟΥΜΙΝΙΟΥ
170,IS_COMPOSED_OF,Sawings,,New,Sawings,null,Nonferrous Scrap - Aluminum,Tread,Aluminum,Castings,,,,,,,,,,ALUMINUM,ALUMINUM
171,IS_COMPOSED_OF,All inserts,,Clean,All inserts,Aluminum Auto Truck Wheels,Nonferrous Scrap - Aluminum,Troma,Aluminum,Wheels,,,,,,,,,,ALUMINUM,ALUMINUM
172,IS_COMPOSED_OF,Other wires and cables unless mutually agreed upon,,Aluminum Conductor Steel Reinforced (ACSR) wire is a combination of steel and aluminum wire,Other wires and cables unless mutually agreed upon,ACSR,Nonferrous Scrap - Aluminum,Trill,Aluminum,Wire,,,,,,,,,,ALUMINUM,ALUMINUM
173,IS_COMPOSED_OF,Excessively oxidized material,,The material as received must be dry and not to contain more than 2% free zinc,Excessively oxidized material,Fragmentizer Aircraft Aluminum Scrap (2000 and 7000 series),Nonferrous Scrap - Aluminum,Twirl,Aluminum,Aircraft Scrap,,,,,,,,,,ALUMINUM,ALUMINUM
174,PRODUCES,Radioactive material,,Shall be made up of a combination of the nonferrous metals - aluminum,Radioactive material,,Nonferrous Scrap - Aluminum,Zorba,Shredded Nonferrous Scrap (predominantly aluminum),Nonferrous Scrap,,,,,,,,,,Screening,Screening
175,PRODUCES,Radioactive material,,Shall be made up of a combination of the nonferrous metals - aluminum,Radioactive material,,Nonferrous Scrap - Aluminum,Zorba,Shredded Nonferrous Scrap (predominantly aluminum),Nonferrous Scrap,,,,,,,,,,Air Separation,Air Separation
176,PRODUCES,Radioactive material,,Shall be made up of a combination of the nonferrous metals - aluminum,Radioactive material,,Nonferrous Scrap - Aluminum,Zorba,Shredded Nonferrous Scrap (predominantly aluminum),Nonferrous Scrap,,,,,,,,,,Floatation Separation,Floatation Separation
177,PRODUCES,Radioactive material,,Shall be made up of a combination of the nonferrous metals - aluminum,Radioactive material,,Nonferrous Scrap - Aluminum,Zorba,Shredded Nonferrous Scrap (predominantly aluminum),Nonferrous Scrap,,,,,,,,,,Eddy Current Separation,Eddy Current Separation
178,IS_COMPOSED_OF,Radioactive material,,Shall be made up of a combination of the nonferrous metals - aluminum,Radioactive material,,Nonferrous Scrap - Aluminum,Zorba,Shredded Nonferrous Scrap (predominantly aluminum),Nonferrous Scrap,,,,,,,,,,ALUMINUM,ALUMINUM
179,IS_EQUIVALENT_TO,Radioactive material,,Shall be made up of a combination of the nonferrous metals - aluminum,Radioactive material,,Nonferrous Scrap - Aluminum,Zorba,Shredded Nonferrous Scrap (predominantly aluminum),Nonferrous Scrap,,,ALUMINUM SCRAP ZORBA AS PER ISRI,,,ALUMINUM SCRAP ZORBA AS PER ISRI,,,,60005,Non-Ferrous
180,IS_EQUIVALENT_TO,Radioactive material,,Shall be made up of a combination of the nonferrous metals - aluminum,Radioactive material,,Nonferrous Scrap - Aluminum,Zorba,Shredded Nonferrous Scrap (predominantly aluminum),Nonferrous Scrap,,,ALUMINUM SCRAP ZORBA AS PER ISRI,,,ALUMINUM SCRAP ZORBA AS PER ISRI,,,,50068,Non-Ferrous
181,IS_EQUIVALENT_TO,Radioactive material,,Shall be made up of a combination of the nonferrous metals - aluminum,Radioactive material,,Nonferrous Scrap - Aluminum,Zorba,Shredded Nonferrous Scrap (predominantly aluminum),Nonferrous Scrap,,,ALUMINUM SCRAP ZORBA AS PER ISRI(E),,,ALUMINUM SCRAP ZORBA AS PER ISRI(E),,,,50208,Non-Ferrous
182,IS_COMPOSED_OF,Borings,,Miscellaneous old zinc base die castings,Borings,Old Zinc Die Cast Scrap,Nonferrous Scrap - Zinc,Saves,Zinc,Die castings,,,,,,,,,,ZINC,ZINC
183,IS_COMPOSED_OF,Corrosion,,New or unused,Corrosion,New Zinc Die Cast Scrap,Nonferrous Scrap - Zinc,Scabs,Zinc ,Die castings,,,,,,,,,,ZINC,ZINC
