,Relationship,name_source,Categorisation_target,Category_target,Description_target,Dimensions_target,EDescription_target,Form_target,Free_of_target,GDescription_target,Material_target,Specifications_target,Title_target,full_community_id_target,name_target
25,IS_PROCESSED_WITH,Pyrometallurgical,Chrome or any other plating material,,,,,New,Chrome or any other plating material,,New Nickel Silver Clippings and Solids,Nonferrous Scrap - Red Metals,Major,Nickel Silver,Clippings
26,IS_PROCESSED_WITH,Pyrometallurgical,leaded brass attachments and have less than 0.2% alloyed lead or as agreed between buyer and seller.,,,,,Alloyed with copper,leaded brass attachments and have less than 0.2% alloyed lead or as agreed between buyer and seller.,,Lead-Free Bismuth Brass Solids,Nonferrous Scrap - Red Metals,Ebulent,Brass,Scrap castings
27,IS_PROCESSED_WITH,Pyrometallurgical,Yellow boxes and iron-backed boxes,,,,,Standard babbitt-lined railroad boxes and/or babbitt-lined car journal bearings,Yellow boxes and iron-backed boxes,,,Nonferrous Scrap - Red Metals,Ferry,Lined Standard Red Car Boxes (Lined Journals),Red car boxes (lined journals)
28,IS_PROCESSED_WITH,Pyrometallurgical,Nonferrous Scrap - Red Metals,,,No. 1 Copper Wire,,Bare,,,Wire gauge subject to agreement between buyer and seller,Nonferrous Scrap - Red Metals,Berry,Copper ,Wire 
29,IS_PROCESSED_WITH,Pyrometallurgical,Excessive corroded material as mutually agreed,,,,,Clean. May be plated or unplated,Excessive corroded material as mutually agreed,,Brass Condenser Tubes,Nonferrous Scrap - Red Metals,Pales,Brass,Condenser tubes
30,IS_PROCESSED_WITH,Pyrometallurgical,Aluminum,,,,,Not to contain over 3% free iron,Aluminum,,Yellow Brass Rod Turnings,Nonferrous Scrap - Red Metals,Night,Yellow brass,Rod turnings (strictly)
31,IS_PROCESSED_WITH,Pyrometallurgical,iron,,,,,Clean,iron,,Yellow Brass Primer,Nonferrous Scrap - Red Metals,Lark,Yellow Brass,Primers
32,IS_PROCESSED_WITH,Pyrometallurgical,Aluminum bronze and silicon bronze.,,,,,Copper content of not less than 55%,Aluminum bronze and silicon bronze.,,Manganese Bronze Solids,Nonferrous Scrap - Red Metals,Parch,Manganese bronze,Solids 
33,IS_PROCESSED_WITH,Pyrometallurgical,insulated wires; copper chlorides; unprepared tangled material; large motors; pyrophoric material; asbestos brake linings; furnace bottoms; high lead materials; graphite crucibles; and noxious and explosive materials.,,,,,Nonferrous Scrap - Red Metals,insulated wires; copper chlorides; unprepared tangled material; large motors; pyrophoric material; asbestos brake linings; furnace bottoms; high lead materials; graphite crucibles; and noxious and explosive materials.,,Copper-Bearing Scrap,,Drove,Irony brass and copper,Miscellaneous skimmings
34,IS_PROCESSED_WITH,Pyrometallurgical,from foreign substances,,,,,new unleaded yellow brass sheet or plate,from foreign substances,,New Brass Clipings,Nonferrous Scrap - Red Metals,Label,Brass,Clippings
35,IS_PROCESSED_WITH,Pyrometallurgical,Nonferrous Scrap - Red Metals,,,Druid,,Uncoated,,,Insulated Copper Wire Scrap,Nonferrous Scrap - Red Metals,not smaller than No. 16 B & S wire gauge (unless smaller wire gauge is mutually agreed upon),Copper,Wire
36,IS_PROCESSED_WITH,Pyrometallurgical,excessively leaded,,,,,Unalloyed,excessively leaded,,No. 2 Copper Solids and Tubing,Nonferrous Scrap - Red Metals,Cliff,Copper ,Miscellaneous Scrap
37,IS_PROCESSED_WITH,Pyrometallurgical,Foreign substances,,,,,Old. Soldered or unsoldered. Must not be trimmed seams alone.,Foreign substances,,Old Nickel Silver,Nonferrous Scrap - Red Metals,Malic,Nickel Silver,Sheet
38,IS_PROCESSED_WITH,Pyrometallurgical,iron-backed bearings,,,,,from automobiles and other machinery,iron-backed bearings,,null,Nonferrous Scrap - Red Metals,Elder,Brass,Bushings and bearings
39,IS_PROCESSED_WITH,Pyrometallurgical,Nonferrous Scrap - Red Metals,,,,,Unalloyed,,,No. 2 Copper Wire Nodules,Nonferrous Scrap - Red Metals,Cobra,Copper ,Wire scrap nodules
40,IS_PROCESSED_WITH,Pyrometallurgical,Nonferrous Scrap - Red Metals,,,,,Copper content of not less than 75%,,,Machinery or Hard Brass Borings,Nonferrous Scrap - Red Metals,Erin,Brass,Borings
41,IS_PROCESSED_WITH,Pyrometallurgical,Tin,,,Clove,,Uncoated,Tin,,No. 1 Copper Wire Nodules,Nonferrous Scrap - Red Metals,Gauge smaller than No. 16 B & S wire subject to agreement between buyer and seller,[Copper ,Wire scrap nodules
42,IS_PROCESSED_WITH,Pyrometallurgical,chrome or any other plating material,,,,,One or more nickel silver alloys the range of nickel content to be specified. Leaded nickel silver clippings should be packed and sold separately. Not to contain more than 10% of clean punchings under 1/4 inch,chrome or any other plating material,,Mixed New Nickel Silver Clippings,Nonferrous Scrap - Red Metals,Maize,Nickel Silver,Clippings
43,IS_PROCESSED_WITH,Pyrometallurgical,Nickel alloy,,,,,Clean,Nickel alloy,,Muntz Metal Tubes,Nonferrous Scrap - Red Metals,Palms,Muntz metal ,Tubes
44,IS_PROCESSED_WITH,Pyrometallurgical,Excessively leaded,,,,,Unalloyed,Excessively leaded,,No. 2 Copper Wire,Nonferrous Scrap - Red Metals,Birch,Copper ,Miscellaneous
45,IS_PROCESSED_WITH,Pyrometallurgical,Nickel alloy and corroded material,,,,,Clean. May be plated or unplated,Nickel alloy and corroded material,,Aluminum Brass Condenser Tubes,Nonferrous Scrap - Red Metals,Pallu,Aluminum Brass,Condenser tubes
46,IS_PROCESSED_WITH,Pyrometallurgical,Nonferrous Scrap - Red Metals,,,,,Shall consist of one specified nickel silver alloy. Not to contain more than 10% of clean punchings under 1/4 inch.,,,New Segregated Nickel Silver Clippings,Nonferrous Scrap - Red Metals,Malar,Nickel Silver,Clippings
47,IS_PROCESSED_WITH,Pyrometallurgical,Nonferrous Scrap - Red Metals,,,,,To be packed and sold separately,,,Nickel Silver Castings,Nonferrous Scrap - Red Metals,Naggy,Nickel Silver,Castings
48,IS_PROCESSED_WITH,Pyrometallurgical,Turning brass rods or forging rods,,,Noble,,New ,Turning brass rods or forging rods,,Yellow Brass Rod Ends,Nonferrous Scrap - Red Metals,Pieces not larger than 12�,Yellow brass,Rod ends
49,IS_PROCESSED_WITH,Pyrometallurgical,Nonferrous Scrap - Red Metals,,,,,It is recommended these materials be sold by analysis.,,,High Grade-Low Lead Brass Bushings,Nonferrous Scrap - Red Metals,Eland,Bronze/Brass,Solids
50,IS_PROCESSED_WITH,Shredder,,CAR BUMPERS (RAW MATERIAL),,,Non-Ferrous,,,CAR BUMPERS (RAW MATERIAL),,,,40021,ΠΡΟΦΥΛΑΚΤΗΡΕΣ ΑΥΤΟΚΙΝΗΤΩΝ ( ΥΛΗ )
51,IS_PROCESSED_WITH,Shredder,,ΜΗΧΑΝΕΣ ΑΚΑΘΑΡΙΣΤΕΣ  Β (ΥΛΗ ),ΜΗΧΑΝΕΣ ΑΚΑΘΑΡΙΣΤΕΣ  Β (ΥΛΗ ),,,,,,,,,40012,Ferrous
52,IS_PROCESSED_WITH,Shredder,,ΚΟΥΖΙΝΕΣ ΑΠΟΡΡΥΠΑΣΜΕΝΕΣ (ΥΛΗ),ΚΟΥΖΙΝΕΣ ΑΠΟΡΡΥΠΑΣΜΕΝΕΣ (ΥΛΗ),,,,,,,,,40003,Ferrous
53,IS_PROCESSED_WITH,Shredder,,ΜΗΧΑΝΕΣ ΑΚΑΘΑΡΙΣΤΕΣ  Α (ΥΛΗ ),ΜΗΧΑΝΕΣ ΑΚΑΘΑΡΙΣΤΕΣ  Α (ΥΛΗ ),,,,,,,,,40011,Ferrous
54,IS_PROCESSED_WITH,Shredder,,ΑΠΟΡΡΥΠΑΣΜΕΝΑ ΨΥΓΕΙΑ (ΥΛΗ),ΑΠΟΡΡΥΠΑΣΜΕΝΑ ΨΥΓΕΙΑ (ΥΛΗ),,,,,,,,,40240,Ferrous
55,IS_PROCESSED_WITH,Shredder,,ΗΛΕΚΤΡ.ΣΥΣΚ. ΑΠΟΡΡΥΠΑΣΜΕΝΕΣ ΧΥΔΗΝ (ΥΛΗ),ΗΛΕΚΤΡ.ΣΥΣΚ. ΑΠΟΡΡΥΠΑΣΜΕΝΕΣ ΧΥΔΗΝ (ΥΛΗ),,,,,,,,,40005,Ferrous
56,IS_PROCESSED_WITH,Shredder,,ΣΚΡΑΠ ΑΥΤΟΚΙΝ. ΓΙΑ ΑΛΕΣΗ (ΥΛΗ),ΣΚΡΑΠ ΑΥΤΟΚΙΝ. ΓΙΑ ΑΛΕΣΗ (ΥΛΗ),,,,,,,,,40002,Ferrous
57,IS_PROCESSED_WITH,Shredder,,ALUMINUM SCRAP TAINT TABOR(RAW MATERIAL),,,Non-Ferrous,,,ALUMINUM SCRAP TAINT TABOR(RAW MATERIAL),,,,40016,ΣΚΡΑΠ ΣΚΕΥΗ - ΔΙΑΦΟΡΑ ΒΑΜΜΕΝΑ ΥΛΗ
58,IS_PROCESSED_WITH,Shredder,,ΥΛΙΚΑ ΜΗΧΑΝΙΚΗΣ ΑΠΟΣΥΝΑΡΜΟΛΟΓΗΣΗΣ (ΥΛΗ),ΥΛΙΚΑ ΜΗΧΑΝΙΚΗΣ ΑΠΟΣΥΝΑΡΜΟΛΟΓΗΣΗΣ (ΥΛΗ),,,,,,,,,40001,Ferrous
59,IS_PROCESSED_WITH,Shredder,,ΠΡΟΚΑΤΕΡΓΑΣΜΕΝΑ ΥΛΙΚΑ ΜΗΧΑΝ.ΑΠΟΣΥΝ(ΥΛΗ),ΠΡΟΚΑΤΕΡΓΑΣΜΕΝΑ ΥΛΙΚΑ ΜΗΧΑΝ.ΑΠΟΣΥΝ(ΥΛΗ),,,,,,,,,40008,Ferrous
60,IS_PROCESSED_WITH,Shredder,,ΘΕΡΜΟΣΙΦΩΝΕΣ ΑΠΟΡΡΥΠΑΣΜΕΝΟΙ (ΥΛΗ),ΘΕΡΜΟΣΙΦΩΝΕΣ ΑΠΟΡΡΥΠΑΣΜΕΝΟΙ (ΥΛΗ),,,,,,,,,40004,Ferrous
61,IS_PROCESSED_WITH,Shredder,,PLASTIC SCRAP (RAW MATERIAL),,,Non-Ferrous,,,PLASTIC SCRAP (RAW MATERIAL),,,,40020,ΣΚΡΑΠ ΠΛΑΣΤΙΚΟΥ (ΥΛΗ)
62,IS_PROCESSED_WITH,Shredder,,ALUMINUM SCRAP FOR SHRED.(RAW MATERIAL),,,Non-Ferrous,,,ALUMINUM SCRAP FOR SHRED.(RAW MATERIAL),,,,40018,ΣΚΡΑΠ ΑΛΟΥΜΙΝΙΟΥ ΠΡΟΣ ΑΛΕΣΗ (ΥΛΗ)
63,IS_PROCESSED_WITH,Shredder,,ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ),ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ),,,,,,,,,40000,Ferrous
64,IS_PROCESSED_WITH,Shredder,,ALUMINUM SCRAP MIXED (RAW MATERIAL),,,Non-Ferrous,,,ALUMINUM SCRAP MIXED (RAW MATERIAL),,,,40017,ΣΚΡΑΠ ΑΛΟΥΜΙΝΙΟΥ ΑΝΑΜΕΙΚΤΟ (ΥΛΗ )
65,IS_PROCESSED_WITH,Shredder,,ΜΗΧΑΝΕΣ ΑΚΑΘΑΡΙΣΤΕΣ  Γ (ΥΛΗ ),ΜΗΧΑΝΕΣ ΑΚΑΘΑΡΙΣΤΕΣ  Γ (ΥΛΗ ),,,,,,,,,40009,Ferrous
66,IS_PROCESSED_WITH,Shredder,,ΠΛΥΝΤΗΡΙΑ ΑΠΟΡΡΥΠΑΣΜΕΝΑ (ΥΛΗ),ΠΛΥΝΤΗΡΙΑ ΑΠΟΡΡΥΠΑΣΜΕΝΑ (ΥΛΗ),,,,,,,,,40006,Ferrous
67,IS_PROCESSED_WITH,Magnetic Separation,,ALUMINUM SCRAP TAINT TABOR(RAW MATERIAL),,,Non-Ferrous,,,ALUMINUM SCRAP TAINT TABOR(RAW MATERIAL),,,,40016,ΣΚΡΑΠ ΣΚΕΥΗ - ΔΙΑΦΟΡΑ ΒΑΜΜΕΝΑ ΥΛΗ
68,IS_PROCESSED_WITH,Magnetic Separation,,ALUMINUM SCRAP FOR SHRED.(RAW MATERIAL),,,Non-Ferrous,,,ALUMINUM SCRAP FOR SHRED.(RAW MATERIAL),,,,40018,ΣΚΡΑΠ ΑΛΟΥΜΙΝΙΟΥ ΠΡΟΣ ΑΛΕΣΗ (ΥΛΗ)
69,IS_PROCESSED_WITH,Magnetic Separation,,ΗΛΕΚΤΡ.ΣΥΣΚ. ΑΠΟΡΡΥΠΑΣΜΕΝΕΣ ΧΥΔΗΝ (ΥΛΗ),ΗΛΕΚΤΡ.ΣΥΣΚ. ΑΠΟΡΡΥΠΑΣΜΕΝΕΣ ΧΥΔΗΝ (ΥΛΗ),,,,,,,,,40005,Ferrous
70,IS_PROCESSED_WITH,Magnetic Separation,,ΚΟΥΖΙΝΕΣ ΑΠΟΡΡΥΠΑΣΜΕΝΕΣ (ΥΛΗ),ΚΟΥΖΙΝΕΣ ΑΠΟΡΡΥΠΑΣΜΕΝΕΣ (ΥΛΗ),,,,,,,,,40003,Ferrous
