,Relationship,name,full_community_id,"""Ar""","""AtomicNumber""","""Density""","""MeltingPoint""","""Symbol""","""full_community_id""","""name"""
87,IS_COMPOSED_OF,C83500,719,44.1,942,15,44.1,30.973762,PHOSPHORUS ,P
88,IS_COMPOSED_OF,C83500,719,1085,319,29,1085,63.546,COPPER,Cu
89,IS_COMPOSED_OF,C83500,719,231.9,326,50,231.9,118.71,TIN,Sn
90,IS_COMPOSED_OF,C83500,719,660.3,322,13,660.3,26.981539,ALUMINUM,Al
91,IS_COMPOSED_OF,C83500,719,327.5,329,82,327.5,207.2,LEAD,Pb
92,IS_COMPOSED_OF,C83500,719,1538,321,26,1538,55.845,IRON,Fe
93,IS_COMPOSED_OF,C83500,719,1455,327,28,1455,58.6934,NICKEL,Ni
94,IS_COMPOSED_OF,C83500,719,630.5,331,51,630.5,121.76,ANTIMONY,Sb
95,IS_COMPOSED_OF,C83500,719,1414,333,14,1414,28.0855,SILICON,Si
96,IS_COMPOSED_OF,C83500,719,112.8,943,16,112.8,32.605,SULFUR ,S
97,IS_COMPOSED_OF,C83500,719,419.5,328,30,419.5,65.38,ZINC,Zn
98,IS_COMPOSED_OF,C83520,720,231.9,326,50,231.9,118.71,TIN,Sn
99,IS_COMPOSED_OF,C83520,720,327.5,329,82,327.5,207.2,LEAD,Pb
100,IS_COMPOSED_OF,C83520,720,231.9,326,50,231.9,118.71,TIN,Sn
101,IS_COMPOSED_OF,C83520,720,1085,319,29,1085,63.546,COPPER,Cu
102,IS_COMPOSED_OF,C83520,720,630.5,331,51,630.5,121.76,ANTIMONY,Sb
103,IS_COMPOSED_OF,C83520,720,327.5,329,82,327.5,207.2,LEAD,Pb
104,IS_COMPOSED_OF,C83520,720,1538,321,26,1538,55.845,IRON,Fe
105,IS_COMPOSED_OF,C83520,720,1455,327,28,1455,58.6934,NICKEL,Ni
106,IS_COMPOSED_OF,C83600,721,1085,319,29,1085,63.546,COPPER,Cu
107,IS_COMPOSED_OF,C83600,721,327.5,329,82,327.5,207.2,LEAD,Pb
108,IS_COMPOSED_OF,C83600,721,231.9,326,50,231.9,118.71,TIN,Sn
109,IS_COMPOSED_OF,C83600,721,419.5,328,30,419.5,65.38,ZINC,Zn
110,IS_COMPOSED_OF,C83600,721,327.5,329,82,327.5,207.2,LEAD,Pb
111,IS_COMPOSED_OF,C83600,721,1455,327,28,1455,58.6934,NICKEL,Ni
112,IS_COMPOSED_OF,C83600,721,630.5,331,51,630.5,121.76,ANTIMONY,Sb
113,IS_COMPOSED_OF,C83600,721,44.1,942,15,44.1,30.973762,PHOSPHORUS ,P
114,IS_COMPOSED_OF,C83600,721,1538,321,26,1538,55.845,IRON,Fe
