,Target Entity,Relationship,Category_src,Description_src,EDescription_src,GDescription_src,full_community_id_src,name_src,Categorisation_trg,Category_trg,Description_trg,Dimensions_trg,Form_trg,Free_of_trg,Material_trg,Specifications_trg,Title_trg,ewc_trg,finalValue_trg,full_community_id_trg,name_trg,orderCount_trg,startingValue_trg,startingWeight_trg,waste_trg,wastePercentage_trg
12,"waste:5560.0,ewc:[150104 120101 150106 200135],startingWeight:142655.0,wastePercentage:2.7,name:ΣΙΔΜΑ ΜΕΤΑΛΛΟΥΡΓΙΚΗ ΑΕ,orderCount:22,finalValue:25899.5305,full_community_id:964,startingValue:26749.9055",SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['[150104 120101 150106 200135]', 'startingWeight']",['25899.5305'],"['964', 'startingValue']","['ΣΙΔΜΑ ΜΕΤΑΛΛΟΥΡΓΙΚΗ ΑΕ', 'orderCount']","['22', 'finalValue']",['26749.9055'],"['wastePercentage', '142655.0']","['5560.0', 'ewc']",['2.7']
13,"waste:0.0,ewc:[150106 160118 191202],startingWeight:72085.0,wastePercentage:0.0,name:POLYECO ΑΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ),orderCount:13,full_community_id:1204,finalValue:0.72085,startingValue:0.72085",SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['startingWeight', '[150106 160118 191202]']","['0.72085', 'startingValue']","['finalValue', '1204']","['orderCount', 'POLYECO ΑΕ (ΤΟΜΕΑΣ ΣΙΔΗΡΟΥ)']",['13'],['0.72085'],"['wastePercentage', '72085.0']","['ewc', '0.0']",['0.0']
14,"ewc:[191202 160216 191203 160106 200101],waste:11886.0,startingWeight:4484116.0,wastePercentage:0.2,orderCount:733,name:ΒΙΑΝΑΤΤ ΑΒΕΕ,full_community_id:991,finalValue:607560.285,startingValue:609856.42",SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['[191202 160216 191203 160106 200101]', 'waste']","['startingValue', '607560.285']","['finalValue', '991']",['ΒΙΑΝΑΤΤ ΑΒΕΕ'],['733'],['609856.42'],"['wastePercentage', '4484116.0']","['11886.0', 'startingWeight']","['0.2', 'orderCount']"
15,"ewc:[200140 191202 200136],waste:0.0,startingWeight:1730.0,wastePercentage:0.0,name:SPECIFAR Α.Β.Ε.Ε. (ΤΟΜ.ΣΙΔΗΡΟΥ),orderCount:3,full_community_id:1265,finalValue:234.01,startingValue:234.01",SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['waste', '[200140 191202 200136]']","['234.01', 'startingValue']","['finalValue', '1265']","['orderCount', 'SPECIFAR Α.Β.Ε.Ε. (ΤΟΜ.ΣΙΔΗΡΟΥ)']",['3'],['234.01'],"['wastePercentage', '1730.0']","['startingWeight', '0.0']",['0.0']
16,"waste:2300.0,ewc:[170405 150104 200136 170401 170407],startingWeight:294315.0,wastePercentage:1.0,orderCount:23,name:FITCO AE,full_community_id:986,finalValue:61646.98,startingValue:62166.95",SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['startingWeight', '[170405 150104 200136 170401 170407]']","['startingValue', '61646.98']","['finalValue', '986']",['FITCO AE'],['23'],['62166.95'],"['294315.0', 'wastePercentage']","['2300.0', 'ewc']","['orderCount', '1.0']"
17,"ewc:[170405 191202 200135 170411 150104 200136 191001 170402 191212 160216],waste:109286.0,startingWeight:4017624.0,wastePercentage:2.5,orderCount:348,name:ΕΛΒΑΛΧΑΛΚΟΡ ΑΕ,full_community_id:969,finalValue:648705.707,startingValue:664663.1203",SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['waste', '[170405 191202 200135 170411 150104 200136 191001 170402 191212 160216]']","['648705.707', 'startingValue']","['finalValue', '969']",['ΕΛΒΑΛΧΑΛΚΟΡ ΑΕ'],['348'],['664663.1203'],"['wastePercentage', '4017624.0']","['109286.0', 'startingWeight']","['orderCount', '2.5']"
18,"ewc:[200140],waste:270.0,startingWeight:2900.0,wastePercentage:9.7,name:SPECIFAR Α.Β.Ε.Ε. (ΤΟΜ.ΜΕΤΑΛΛΟΥ),orderCount:4,finalValue:482.0,full_community_id:1264,startingValue:538.5",SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['waste', '[200140]']",['482.0'],"['startingValue', '1264']","['SPECIFAR Α.Β.Ε.Ε. (ΤΟΜ.ΜΕΤΑΛΛΟΥ)', 'orderCount']","['finalValue', '4']",['538.5'],"['wastePercentage', '2900.0']","['270.0', 'startingWeight']",['9.7']
19,"waste:501.0,ewc:[200140 170411 191203],startingWeight:30130.0,wastePercentage:6.3,name:ALSTOM TRANSPORT AE (ΤΟΜ.ΜΕΤΑΛΛΟΥ),orderCount:9,full_community_id:1210,finalValue:47550.07,startingValue:49379.42",SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['startingWeight', '[200140 170411 191203]']","['47550.07', 'startingValue']","['1210', 'finalValue']","['orderCount', 'ALSTOM TRANSPORT AE (ΤΟΜ.ΜΕΤΑΛΛΟΥ)']",['9'],['49379.42'],"['wastePercentage', '30130.0']","['501.0', 'ewc']",['6.3']
20,"ewc:[170405 170411 200136],waste:11120.0,startingWeight:389530.0,wastePercentage:8.4,name:ΒΕΠΑΛ ΑΕ,orderCount:25,full_community_id:1042,finalValue:50076.51765,startingValue:51660.63765",SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['[170405 170411 200136]', 'waste']","['50076.51765', 'startingValue']","['finalValue', '1042']","['ΒΕΠΑΛ ΑΕ', 'orderCount']",['25'],['51660.63765'],"['389530.0', 'wastePercentage']","['11120.0', 'startingWeight']",['8.4']
21,"waste:10.0,ewc:[200140],startingWeight:64960.0,wastePercentage:0.0,name:VENUS HOUSEWARE IKE,orderCount:15,full_community_id:1078,finalValue:35329.2,startingValue:35338.4",SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['startingWeight', '[200140]']","['35329.2', 'startingValue']","['finalValue', '1078']","['VENUS HOUSEWARE IKE', 'orderCount']",['15'],['35338.4'],"['wastePercentage', '64960.0']","['ewc', '10.0']",['0.0']
