,Target Entity,Relationship,Category_src,Description_src,EDescription_src,GDescription_src,full_community_id_src,name_src,Categorisation_trg,Category_trg,Description_trg,Dimensions_trg,Form_trg,Free_of_trg,Material_trg,Specifications_trg,Title_trg,ewc_trg,finalValue_trg,full_community_id_trg,name_trg,orderCount_trg,startingValue_trg,startingWeight_trg,waste_trg,wastePercentage_trg
252,"waste:427.0,ewc:[191203 170401 170402 191202 170407 120103 170403 160122],startingWeight:327965.0,wastePercentage:0.3,name:ΣΩΤΗΡΙΟΥ ΔΗΜΗΤΡΙΟΣ ΜΟΝ. ΕΠΕ (ΤΟΜ.ΜΕ,orderCount:116,finalValue:386102.215,full_community_id:1258,startingValue:386916.24",SUPPLIES,"['EDescription', 'Non-Ferrous']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α1'],"['COPPER SCRAP MILLBERRY AS PER ISRI', 'Category']",['487'],['50018'],,,,,,,,,,"['[191203 170401 170402 191202 170407 120103 170403 160122]', 'startingWeight']",['386102.215'],"['1258', 'startingValue']","['orderCount', 'ΣΩΤΗΡΙΟΥ ΔΗΜΗΤΡΙΟΣ ΜΟΝ. ΕΠΕ (ΤΟΜ.ΜΕ']","['finalValue', '116']",['386916.24'],"['wastePercentage', '327965.0']","['427.0', 'ewc']",['0.3']
253,"ewc:[170401 191203],waste:0.0,startingWeight:6999.0,wastePercentage:0.0,name:ΑΝΑΚΥΚΛΩΣΗ ΜΑΓΝΗΣΙΑΣ ΜΟΝΟΠΡΟΣΩΠΗ Ι.,orderCount:2,finalValue:17338.41,full_community_id:1056,startingValue:17338.41",SUPPLIES,"['EDescription', 'Non-Ferrous']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α1'],"['COPPER SCRAP MILLBERRY AS PER ISRI', 'Category']",['487'],['50018'],,,,,,,,,,"['waste', '[170401 191203]']",['17338.41'],"['startingValue', '1056']","['orderCount', 'ΑΝΑΚΥΚΛΩΣΗ ΜΑΓΝΗΣΙΑΣ ΜΟΝΟΠΡΟΣΩΠΗ Ι.']","['2', 'finalValue']",['17338.41'],"['wastePercentage', '6999.0']","['startingWeight', '0.0']",['0.0']
254,"waste:964.0,ewc:[160122 191203 191202 191212],startingWeight:1068338.0,wastePercentage:0.2,name:ΚΟΣΜΙΔΗΣ Δ. & ΣΙΑ ΕΕ (ΤΟΜ.ΜΕΤΑΛΛΟΥ),orderCount:272,finalValue:1468861.155,full_community_id:1245,startingValue:1470152.3800000001",SUPPLIES,"['EDescription', 'Non-Ferrous']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α1'],"['COPPER SCRAP MILLBERRY AS PER ISRI', 'Category']",['487'],['50018'],,,,,,,,,,"['startingWeight', '[160122 191203 191202 191212]']",['1468861.155'],"['startingValue', '1245']","['orderCount', 'ΚΟΣΜΙΔΗΣ Δ. & ΣΙΑ ΕΕ (ΤΟΜ.ΜΕΤΑΛΛΟΥ)']","['finalValue', '272']",['1470152.3800000001'],"['wastePercentage', '1068338.0']","['ewc', '964.0']",['0.2']
255,"waste:2138.0,ewc:[160801 170411 170402 160118 170401 170407 170405 191203],startingWeight:691758.0,wastePercentage:0.3,name:ΘΩΜΑΔΑΚΗΣ Α.Ε. (ΤΟΜΕΑΣ ΜΕΤΑΛΛΟΥ),orderCount:54,finalValue:607650.775,full_community_id:1233,startingValue:609950.6849999999",SUPPLIES,"['EDescription', 'Non-Ferrous']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α1'],"['COPPER SCRAP MILLBERRY AS PER ISRI', 'Category']",['487'],['50018'],,,,,,,,,,"['startingWeight', '[160801 170411 170402 160118 170401 170407 170405 191203]']",['607650.775'],"['1233', 'startingValue']","['orderCount', 'ΘΩΜΑΔΑΚΗΣ Α.Ε. (ΤΟΜΕΑΣ ΜΕΤΑΛΛΟΥ)']","['finalValue', '54']",['609950.6849999999'],"['wastePercentage', '691758.0']","['2138.0', 'ewc']",['0.3']
256,"waste:148.0,ewc:[191203 191202],startingWeight:30450.0,wastePercentage:0.5,name:ΟΙΚΟ ΚΥΚΛΙΟΣ ΑΝΑΚΥΚΛΩΣΗ ΑΒΕΕ (ΤΟΜ.Μ,orderCount:8,full_community_id:1242,finalValue:35244.575000000004,startingValue:35479.075",SUPPLIES,"['EDescription', 'Non-Ferrous']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α1'],"['COPPER SCRAP MILLBERRY AS PER ISRI', 'Category']",['487'],['50018'],,,,,,,,,,"['startingWeight', '[191203 191202]']","['startingValue', '35244.575000000004']","['finalValue', '1242']","['ΟΙΚΟ ΚΥΚΛΙΟΣ ΑΝΑΚΥΚΛΩΣΗ ΑΒΕΕ (ΤΟΜ.Μ', 'orderCount']",['8'],['35479.075'],"['30450.0', 'wastePercentage']","['148.0', 'ewc']",['0.5']
257,"waste:501.0,ewc:[200140 170411 191203],startingWeight:30130.0,wastePercentage:6.3,name:ALSTOM TRANSPORT AE (ΤΟΜ.ΜΕΤΑΛΛΟΥ),orderCount:9,full_community_id:1210,finalValue:47550.07,startingValue:49379.42",SUPPLIES,"['EDescription', 'Non-Ferrous']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α1'],"['COPPER SCRAP MILLBERRY AS PER ISRI', 'Category']",['487'],['50018'],,,,,,,,,,"['startingWeight', '[200140 170411 191203]']","['47550.07', 'startingValue']","['1210', 'finalValue']","['orderCount', 'ALSTOM TRANSPORT AE (ΤΟΜ.ΜΕΤΑΛΛΟΥ)']",['9'],['49379.42'],"['wastePercentage', '30130.0']","['501.0', 'ewc']",['6.3']
258,"waste:543.0,ewc:[191202 191203 120101],startingWeight:357280.0,wastePercentage:0.2,name:ΜΙΧΑΛΟΠΟΥΛΟΣ Φ. ΑΝΑΣΤΑΣΙΟΣ,orderCount:138,full_community_id:1044,finalValue:383867.245,startingValue:384503.1",SUPPLIES,"['EDescription', 'Non-Ferrous']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α1'],"['COPPER SCRAP MILLBERRY AS PER ISRI', 'Category']",['487'],['50018'],,,,,,,,,,"['[191202 191203 120101]', 'startingWeight']","['383867.245', 'startingValue']","['finalValue', '1044']","['orderCount', 'ΜΙΧΑΛΟΠΟΥΛΟΣ Φ. ΑΝΑΣΤΑΣΙΟΣ']",['138'],['384503.1'],"['357280.0', 'wastePercentage']","['ewc', '543.0']",['0.2']
259,"waste:98985.0,ewc:[191202 160801 191203 160118 160122 170411 191212],startingWeight:6766012.0,orderCount:277,wastePercentage:1.0,name:ΑΡΓΥΡΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ & ΣΙΑ ΟΕ(ΤΟΜ.,full_community_id:1224,finalValue:962668.699,startingValue:975533.679",SUPPLIES,"['EDescription', 'Non-Ferrous']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α1'],"['COPPER SCRAP MILLBERRY AS PER ISRI', 'Category']",['487'],['50018'],,,,,,,,,,"['[191202 160801 191203 160118 160122 170411 191212]', 'startingWeight']","['startingValue', '962668.699']","['1224', 'finalValue']",['ΑΡΓΥΡΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ & ΣΙΑ ΟΕ(ΤΟΜ.'],"['277', 'wastePercentage']",['975533.679'],"['6766012.0', 'orderCount']","['98985.0', 'ewc']",['1.0']
260,"waste:323.0,ewc:[160122 191203 170402 191202],startingWeight:68615.0,wastePercentage:0.5,name:ΛΑΔΑΣ Ι. ΓΕΩΡΓΙΟΣ & ΣΙΑ ΟΕ (ΤΟΜ.ΜΕΤ,orderCount:10,finalValue:58793.82,full_community_id:1249,startingValue:59144.43",SUPPLIES,"['EDescription', 'Non-Ferrous']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α1'],"['COPPER SCRAP MILLBERRY AS PER ISRI', 'Category']",['487'],['50018'],,,,,,,,,,"['startingWeight', '[160122 191203 170402 191202]']",['58793.82'],"['startingValue', '1249']","['orderCount', 'ΛΑΔΑΣ Ι. ΓΕΩΡΓΙΟΣ & ΣΙΑ ΟΕ (ΤΟΜ.ΜΕΤ']","['finalValue', '10']",['59144.43'],"['68615.0', 'wastePercentage']","['ewc', '323.0']",['0.5']
261,"waste:1617.0,ewc:[160122 191203 170407 170404 170405 170401 170403 170402 160118],startingWeight:292749.0,wastePercentage:1.0,name:RISE ΜΟΝΟΠΡΟΣΩΠΗ ΑΕ (ΤΟΜΕΑΣ ΜΕΤΑΛΛΟ,orderCount:105,finalValue:251764.07,full_community_id:1216,startingValue:253208.42",SUPPLIES,"['EDescription', 'Non-Ferrous']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α1'],"['COPPER SCRAP MILLBERRY AS PER ISRI', 'Category']",['487'],['50018'],,,,,,,,,,"['startingWeight', '[160122 191203 170407 170404 170405 170401 170403 170402 160118]']",['251764.07'],"['startingValue', '1216']","['orderCount', 'RISE ΜΟΝΟΠΡΟΣΩΠΗ ΑΕ (ΤΟΜΕΑΣ ΜΕΤΑΛΛΟ']","['finalValue', '105']",['253208.42'],"['wastePercentage', '292749.0']","['1617.0', 'ewc']",['1.0']
262,"waste:35.0,ewc:[191203],startingWeight:7010.0,wastePercentage:0.5,name:ΑΝΑΚΥΚΛΩΣΗ ΛΕΣΒΟΥ ΒΟΥΝΑΤΣΟΣ Δ.& ΧΑΡ,orderCount:2,full_community_id:1001,finalValue:29710.899999999998,startingValue:29858.75",SUPPLIES,"['EDescription', 'Non-Ferrous']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α1'],"['COPPER SCRAP MILLBERRY AS PER ISRI', 'Category']",['487'],['50018'],,,,,,,,,,"['[191203]', 'startingWeight']","['29710.899999999998', 'startingValue']","['1001', 'finalValue']","['ΑΝΑΚΥΚΛΩΣΗ ΛΕΣΒΟΥ ΒΟΥΝΑΤΣΟΣ Δ.& ΧΑΡ', 'orderCount']",['2'],['29858.75'],"['wastePercentage', '7010.0']","['ewc', '35.0']",['0.5']
263,"Categorisation:Nonferrous Scrap - Red Metals,Specifications:Bare, Uncoated, Unalloyed,Form:Wire ,name:Berry,Title:No. 1 Copper Wire,Dimensions:Wire gauge subject to agreement between buyer and seller,Material:Copper ,full_community_id:0",IS_EQUIVALENT_TO,"['EDescription', 'Non-Ferrous']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α1'],"['COPPER SCRAP MILLBERRY AS PER ISRI', 'Category']",['487'],['50018'],['Nonferrous Scrap - Red Metals'],,,['Wire gauge subject to agreement between buyer and seller'],['Wire '],,['Copper '],"[' Uncoated', 'Bare', ' Unalloyed']",['No. 1 Copper Wire'],,,['0'],['Berry'],,,,,
264,"waste:427.0,ewc:[191203 170401 170402 191202 170407 120103 170403 160122],startingWeight:327965.0,wastePercentage:0.3,name:ΣΩΤΗΡΙΟΥ ΔΗΜΗΤΡΙΟΣ ΜΟΝ. ΕΠΕ (ΤΟΜ.ΜΕ,orderCount:116,finalValue:386102.215,full_community_id:1258,startingValue:386916.24",SUPPLIES,"['EDescription', 'Non-Ferrous']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ A1 ΤΡΙΜΜΑ'],"['COPPER SCRAP CLOVE AS PER ISRI (A1)', 'Category']",['488'],['50019'],,,,,,,,,,"['[191203 170401 170402 191202 170407 120103 170403 160122]', 'startingWeight']",['386102.215'],"['1258', 'startingValue']","['orderCount', 'ΣΩΤΗΡΙΟΥ ΔΗΜΗΤΡΙΟΣ ΜΟΝ. ΕΠΕ (ΤΟΜ.ΜΕ']","['finalValue', '116']",['386916.24'],"['wastePercentage', '327965.0']","['427.0', 'ewc']",['0.3']
265,"waste:105.0,ewc:[191203],startingWeight:168295.0,wastePercentage:0.3,name:ΦΙΛΙΠΠΙΔΗΣ Φ.ΑΝΩΝ.ΕΜΠΟΡ.ΕΤΑΙΡΕΙΑ,orderCount:10,full_community_id:968,finalValue:197403.925,startingValue:197594.825",SUPPLIES,"['EDescription', 'Non-Ferrous']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ A1 ΤΡΙΜΜΑ'],"['COPPER SCRAP CLOVE AS PER ISRI (A1)', 'Category']",['488'],['50019'],,,,,,,,,,"['[191203]', 'startingWeight']","['startingValue', '197403.925']","['968', 'finalValue']","['orderCount', 'ΦΙΛΙΠΠΙΔΗΣ Φ.ΑΝΩΝ.ΕΜΠΟΡ.ΕΤΑΙΡΕΙΑ']",['10'],['197594.825'],"['wastePercentage', '168295.0']","['105.0', 'ewc']",['0.3']
266,"waste:57.0,ewc:[170401 170402 170407 170405],startingWeight:44097.0,wastePercentage:0.1,name:ΧΑΤΖΗΙΩΑΝΝΟΥ Π. & Ι. ΟΕ,orderCount:18,finalValue:91280.36,full_community_id:1028,startingValue:91373.5",SUPPLIES,"['EDescription', 'Non-Ferrous']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ A1 ΤΡΙΜΜΑ'],"['COPPER SCRAP CLOVE AS PER ISRI (A1)', 'Category']",['488'],['50019'],,,,,,,,,,"['startingWeight', '[170401 170402 170407 170405]']",['91280.36'],"['startingValue', '1028']","['orderCount', 'ΧΑΤΖΗΙΩΑΝΝΟΥ Π. & Ι. ΟΕ']","['finalValue', '18']",['91373.5'],"['44097.0', 'wastePercentage']","['ewc', '57.0']",['0.1']
267,"Free_of:Tin, Lead, Zinc, Aluminum, Iron, Other metallic impurities, Insulation, other foreign contamination,Categorisation:Nonferrous Scrap - Red Metals,Specifications:Uncoated, Unalloyed, Chopped or Shredded,Form:Wire scrap nodules,name:Clove,Dimensions:Gauge smaller than No. 16 B & S wire subject to agreement between buyer and seller,Title:No. 1 Copper Wire Nodules,Material:[Copper ,full_community_id:5",IS_EQUIVALENT_TO,"['EDescription', 'Non-Ferrous']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ A1 ΤΡΙΜΜΑ'],"['COPPER SCRAP CLOVE AS PER ISRI (A1)', 'Category']",['488'],['50019'],['Nonferrous Scrap - Red Metals'],,,['Gauge smaller than No. 16 B & S wire subject to agreement between buyer and seller'],['Wire scrap nodules'],"[' Aluminum', 'Tin', ' Other metallic impurities', ' Lead', ' Zinc', ' other foreign contamination', ' Insulation', ' Iron']",['[Copper '],"['Uncoated', ' Chopped or Shredded', ' Unalloyed']",['No. 1 Copper Wire Nodules'],,,['5'],['Clove'],,,,,
268,"waste:105.0,ewc:[191203],startingWeight:168295.0,wastePercentage:0.3,name:ΦΙΛΙΠΠΙΔΗΣ Φ.ΑΝΩΝ.ΕΜΠΟΡ.ΕΤΑΙΡΕΙΑ,orderCount:10,full_community_id:968,finalValue:197403.925,startingValue:197594.825",SUPPLIES,"['EDescription', 'Non-Ferrous']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α2'],"['COPPER SCRAP NEW CANDY', 'Category']",['489'],['50020'],,,,,,,,,,"['[191203]', 'startingWeight']","['startingValue', '197403.925']","['968', 'finalValue']","['orderCount', 'ΦΙΛΙΠΠΙΔΗΣ Φ.ΑΝΩΝ.ΕΜΠΟΡ.ΕΤΑΙΡΕΙΑ']",['10'],['197594.825'],"['wastePercentage', '168295.0']","['105.0', 'ewc']",['0.3']
269,"Categorisation:Nonferrous Scrap - Red Metals,Specifications:clean, unalloyed, uncoated,Form:Clippings, punchings, bus bars, commutator segments, copper tubing,name:Candy,Title:No. 1 Heavy Copper Solids and Tubing,Material:Copper ,full_community_id:3",IS_EQUIVALENT_TO,"['EDescription', 'Non-Ferrous']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α2'],"['COPPER SCRAP NEW CANDY', 'Category']",['489'],['50020'],['Nonferrous Scrap - Red Metals'],,,,"['Clippings', ' punchings', ' copper tubing', ' commutator segments', ' bus bars']",,['Copper '],"[' uncoated', ' unalloyed', 'clean']",['No. 1 Heavy Copper Solids and Tubing'],,,['3'],['Candy'],,,,,
270,"Free_of:Tin, Lead, Zinc, Aluminum, Iron, Other metallic impurities, Insulation, other foreign contamination,Categorisation:Nonferrous Scrap - Red Metals,Specifications:Uncoated, Unalloyed, Chopped or Shredded,Form:Wire scrap nodules,name:Clove,Dimensions:Gauge smaller than No. 16 B & S wire subject to agreement between buyer and seller,Title:No. 1 Copper Wire Nodules,Material:[Copper ,full_community_id:5",IS_EQUIVALENT_TO,"['EDescription', 'Non-Ferrous']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α2 ΤΡΙΜΜΑ'],"['COPPER SCRAP CLOVE AS PER ISRI (A2)', 'Category']",['490'],['50021'],['Nonferrous Scrap - Red Metals'],,,['Gauge smaller than No. 16 B & S wire subject to agreement between buyer and seller'],['Wire scrap nodules'],"[' Aluminum', 'Tin', ' Other metallic impurities', ' Lead', ' Zinc', ' other foreign contamination', ' Insulation', ' Iron']",['[Copper '],"['Uncoated', ' Chopped or Shredded', ' Unalloyed']",['No. 1 Copper Wire Nodules'],,,['5'],['Clove'],,,,,
271,"ewc:[191203 191001 191202 191212 160117 160122 160118],waste:20541.0,startingWeight:3914274.0,wastePercentage:0.8,orderCount:681,name:AK METAL SCRAP ΕΠΕ,full_community_id:1064,finalValue:3345442.605,startingValue:3362944.715",SUPPLIES,"['EDescription', 'Non-Ferrous']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α3'],"['Category', 'COPPER SCRAP SOUDRONIC AS PER ISRI']",['491'],['50022'],,,,,,,,,,"['waste', '[191203 191001 191202 191212 160117 160122 160118]']","['startingValue', '3345442.605']","['1064', 'finalValue']",['AK METAL SCRAP ΕΠΕ'],['681'],['3362944.715'],"['wastePercentage', '3914274.0']","['startingWeight', '20541.0']","['orderCount', '0.8']"
272,"waste:1617.0,ewc:[160122 191203 170407 170404 170405 170401 170403 170402 160118],startingWeight:292749.0,wastePercentage:1.0,name:RISE ΜΟΝΟΠΡΟΣΩΠΗ ΑΕ (ΤΟΜΕΑΣ ΜΕΤΑΛΛΟ,orderCount:105,finalValue:251764.07,full_community_id:1216,startingValue:253208.42",SUPPLIES,"['EDescription', 'Non-Ferrous']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α3'],"['Category', 'COPPER SCRAP SOUDRONIC AS PER ISRI']",['491'],['50022'],,,,,,,,,,"['startingWeight', '[160122 191203 170407 170404 170405 170401 170403 170402 160118]']",['251764.07'],"['startingValue', '1216']","['orderCount', 'RISE ΜΟΝΟΠΡΟΣΩΠΗ ΑΕ (ΤΟΜΕΑΣ ΜΕΤΑΛΛΟ']","['finalValue', '105']",['253208.42'],"['wastePercentage', '292749.0']","['1617.0', 'ewc']",['1.0']
273,"ewc:[191203 191001 191202 191212 160117 160122 160118],waste:20541.0,startingWeight:3914274.0,wastePercentage:0.8,orderCount:681,name:AK METAL SCRAP ΕΠΕ,full_community_id:1064,finalValue:3345442.605,startingValue:3362944.715",SUPPLIES,"['EDescription', 'Non-Ferrous']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ A3 ΤΡΙΜΜΑ'],"['COPPER SCRAP GRANULES A3', 'Category']",['492'],['50023'],,,,,,,,,,"['waste', '[191203 191001 191202 191212 160117 160122 160118]']","['startingValue', '3345442.605']","['1064', 'finalValue']",['AK METAL SCRAP ΕΠΕ'],['681'],['3362944.715'],"['wastePercentage', '3914274.0']","['startingWeight', '20541.0']","['orderCount', '0.8']"
274,"waste:964.0,ewc:[160122 191203 191202 191212],startingWeight:1068338.0,wastePercentage:0.2,name:ΚΟΣΜΙΔΗΣ Δ. & ΣΙΑ ΕΕ (ΤΟΜ.ΜΕΤΑΛΛΟΥ),orderCount:272,finalValue:1468861.155,full_community_id:1245,startingValue:1470152.3800000001",SUPPLIES,"['EDescription', 'Non-Ferrous']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α4'],"['Category', 'COPPER SCRAP BERRY/CANDY AS PER ISRI']",['493'],['50024'],,,,,,,,,,"['startingWeight', '[160122 191203 191202 191212]']",['1468861.155'],"['startingValue', '1245']","['orderCount', 'ΚΟΣΜΙΔΗΣ Δ. & ΣΙΑ ΕΕ (ΤΟΜ.ΜΕΤΑΛΛΟΥ)']","['finalValue', '272']",['1470152.3800000001'],"['wastePercentage', '1068338.0']","['ewc', '964.0']",['0.2']
275,"ewc:[191203 191001 191202 191212 160117 160122 160118],waste:20541.0,startingWeight:3914274.0,wastePercentage:0.8,orderCount:681,name:AK METAL SCRAP ΕΠΕ,full_community_id:1064,finalValue:3345442.605,startingValue:3362944.715",SUPPLIES,"['EDescription', 'Non-Ferrous']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α4'],"['Category', 'COPPER SCRAP BERRY/CANDY AS PER ISRI']",['493'],['50024'],,,,,,,,,,"['waste', '[191203 191001 191202 191212 160117 160122 160118]']","['startingValue', '3345442.605']","['1064', 'finalValue']",['AK METAL SCRAP ΕΠΕ'],['681'],['3362944.715'],"['wastePercentage', '3914274.0']","['startingWeight', '20541.0']","['orderCount', '0.8']"
276,"waste:427.0,ewc:[191203 170401 170402 191202 170407 120103 170403 160122],startingWeight:327965.0,wastePercentage:0.3,name:ΣΩΤΗΡΙΟΥ ΔΗΜΗΤΡΙΟΣ ΜΟΝ. ΕΠΕ (ΤΟΜ.ΜΕ,orderCount:116,finalValue:386102.215,full_community_id:1258,startingValue:386916.24",SUPPLIES,"['EDescription', 'Non-Ferrous']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α4'],"['Category', 'COPPER SCRAP BERRY/CANDY AS PER ISRI']",['493'],['50024'],,,,,,,,,,"['[191203 170401 170402 191202 170407 120103 170403 160122]', 'startingWeight']",['386102.215'],"['1258', 'startingValue']","['orderCount', 'ΣΩΤΗΡΙΟΥ ΔΗΜΗΤΡΙΟΣ ΜΟΝ. ΕΠΕ (ΤΟΜ.ΜΕ']","['finalValue', '116']",['386916.24'],"['wastePercentage', '327965.0']","['427.0', 'ewc']",['0.3']
277,"waste:13.0,ewc:[170401],startingWeight:4460.0,wastePercentage:0.3,name:ΒΙΟΚΑΛΩΔΙΑ  ΕΠΕ,orderCount:1,full_community_id:1004,finalValue:20387.84,startingValue:20447.700000000004",SUPPLIES,"['EDescription', 'Non-Ferrous']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α4'],"['Category', 'COPPER SCRAP BERRY/CANDY AS PER ISRI']",['493'],['50024'],,,,,,,,,,"['startingWeight', '[170401]']","['startingValue', '20387.84']","['finalValue', '1004']","['orderCount', 'ΒΙΟΚΑΛΩΔΙΑ  ΕΠΕ']",['1'],['20447.700000000004'],"['wastePercentage', '4460.0']","['ewc', '13.0']",['0.3']
278,"waste:2138.0,ewc:[160801 170411 170402 160118 170401 170407 170405 191203],startingWeight:691758.0,wastePercentage:0.3,name:ΘΩΜΑΔΑΚΗΣ Α.Ε. (ΤΟΜΕΑΣ ΜΕΤΑΛΛΟΥ),orderCount:54,finalValue:607650.775,full_community_id:1233,startingValue:609950.6849999999",SUPPLIES,"['EDescription', 'Non-Ferrous']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α4'],"['Category', 'COPPER SCRAP BERRY/CANDY AS PER ISRI']",['493'],['50024'],,,,,,,,,,"['startingWeight', '[160801 170411 170402 160118 170401 170407 170405 191203]']",['607650.775'],"['1233', 'startingValue']","['orderCount', 'ΘΩΜΑΔΑΚΗΣ Α.Ε. (ΤΟΜΕΑΣ ΜΕΤΑΛΛΟΥ)']","['finalValue', '54']",['609950.6849999999'],"['wastePercentage', '691758.0']","['2138.0', 'ewc']",['0.3']
279,"waste:323.0,ewc:[160122 191203 170402 191202],startingWeight:68615.0,wastePercentage:0.5,name:ΛΑΔΑΣ Ι. ΓΕΩΡΓΙΟΣ & ΣΙΑ ΟΕ (ΤΟΜ.ΜΕΤ,orderCount:10,finalValue:58793.82,full_community_id:1249,startingValue:59144.43",SUPPLIES,"['EDescription', 'Non-Ferrous']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α4'],"['Category', 'COPPER SCRAP BERRY/CANDY AS PER ISRI']",['493'],['50024'],,,,,,,,,,"['startingWeight', '[160122 191203 170402 191202]']",['58793.82'],"['startingValue', '1249']","['orderCount', 'ΛΑΔΑΣ Ι. ΓΕΩΡΓΙΟΣ & ΣΙΑ ΟΕ (ΤΟΜ.ΜΕΤ']","['finalValue', '10']",['59144.43'],"['68615.0', 'wastePercentage']","['ewc', '323.0']",['0.5']
280,"waste:964.0,ewc:[160122 191203 191202 191212],startingWeight:1068338.0,wastePercentage:0.2,name:ΚΟΣΜΙΔΗΣ Δ. & ΣΙΑ ΕΕ (ΤΟΜ.ΜΕΤΑΛΛΟΥ),orderCount:272,finalValue:1468861.155,full_community_id:1245,startingValue:1470152.3800000001",SUPPLIES,"['EDescription', 'Non-Ferrous']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ B2 ΤΡΙΜΜΑ'],"['Category', 'COPPER SCRAP COBRA AS PER ISRI']",['496'],['50027'],,,,,,,,,,"['startingWeight', '[160122 191203 191202 191212]']",['1468861.155'],"['startingValue', '1245']","['orderCount', 'ΚΟΣΜΙΔΗΣ Δ. & ΣΙΑ ΕΕ (ΤΟΜ.ΜΕΤΑΛΛΟΥ)']","['finalValue', '272']",['1470152.3800000001'],"['wastePercentage', '1068338.0']","['ewc', '964.0']",['0.2']
281,"ewc:[191203 191001 191202 191212 160117 160122 160118],waste:20541.0,startingWeight:3914274.0,wastePercentage:0.8,orderCount:681,name:AK METAL SCRAP ΕΠΕ,full_community_id:1064,finalValue:3345442.605,startingValue:3362944.715",SUPPLIES,"['EDescription', 'Non-Ferrous']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ B2 ΤΡΙΜΜΑ'],"['Category', 'COPPER SCRAP COBRA AS PER ISRI']",['496'],['50027'],,,,,,,,,,"['waste', '[191203 191001 191202 191212 160117 160122 160118]']","['startingValue', '3345442.605']","['1064', 'finalValue']",['AK METAL SCRAP ΕΠΕ'],['681'],['3362944.715'],"['wastePercentage', '3914274.0']","['startingWeight', '20541.0']","['orderCount', '0.8']"
282,"waste:427.0,ewc:[191203 170401 170402 191202 170407 120103 170403 160122],startingWeight:327965.0,wastePercentage:0.3,name:ΣΩΤΗΡΙΟΥ ΔΗΜΗΤΡΙΟΣ ΜΟΝ. ΕΠΕ (ΤΟΜ.ΜΕ,orderCount:116,finalValue:386102.215,full_community_id:1258,startingValue:386916.24",SUPPLIES,"['EDescription', 'Non-Ferrous']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ B2 ΤΡΙΜΜΑ'],"['Category', 'COPPER SCRAP COBRA AS PER ISRI']",['496'],['50027'],,,,,,,,,,"['[191203 170401 170402 191202 170407 120103 170403 160122]', 'startingWeight']",['386102.215'],"['1258', 'startingValue']","['orderCount', 'ΣΩΤΗΡΙΟΥ ΔΗΜΗΤΡΙΟΣ ΜΟΝ. ΕΠΕ (ΤΟΜ.ΜΕ']","['finalValue', '116']",['386916.24'],"['wastePercentage', '327965.0']","['427.0', 'ewc']",['0.3']
283,"Categorisation:Nonferrous Scrap - Red Metals,Specifications:Unalloyed, Chopped or shredded. Maximum metal impurities not to exceed 0.50% aluminum and 1% each of other metals or insulation.,Form:Wire scrap nodules,name:Cobra,Title:No. 2 Copper Wire Nodules,Material:Copper ,full_community_id:6",IS_EQUIVALENT_TO,"['EDescription', 'Non-Ferrous']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ B2 ΤΡΙΜΜΑ'],"['Category', 'COPPER SCRAP COBRA AS PER ISRI']",['496'],['50027'],['Nonferrous Scrap - Red Metals'],,,,['Wire scrap nodules'],,['Copper '],"['Unalloyed', ' Chopped or shredded. Maximum metal impurities not to exceed 0.50% aluminum and 1% each of other metals or insulation.']",['No. 2 Copper Wire Nodules'],,,['6'],['Cobra'],,,,,
