,Relationship,full_community_id_src,name_src,Categorisation_trg,Category_trg,Description_trg,Dimensions_trg,EDescription_trg,Form_trg,Free_of_trg,GDescription_trg,Material_trg,Specifications_trg,Title_trg,full_community_id_trg,name_trg
16,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,,,['Fired 70/30 shell cases'],['any other foreign material'],,['Bras'],"[' all shells must be sufficiently mutilated to prevent reuse and reloading', 'Clean.Containing the brass primers. For material to be exported from the United States']",['Brass Shell Cases With Primers'],['29'],['Lady']
17,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,,,['Turnings'],,,['Nickel Silver'],['To be sold by sample or analysis'],['null'],['39'],['Niece']
18,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,,,"[' Plated', ' Rod', ' Castings', 'Mixed Solids', ' Rolled', ' Tubings']","[' any type of munitions including', ' bullet casings.', 'Manganese-bronze', ' and excessively dirty and corroded materials', ' but not limited to', ' iron', ' unsweated radiators or radiator parts', ' aluminumbronze']",,['Yellow brass'],,['Yellow Brass Scrap'],['25'],['Honey']
19,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,,,['Solids and Borings'],,,['Bronze'],['It is recommended that these materials be sold on sample or analysis.'],['High Lead Bronze Solids and Borings'],['18'],['Elias']
20,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,,,['Borings and turnings'],,,['Leaded Brass'],"['Alloyed with copper', ' zinc and lead. Turnings shall be unmixed and have less than 0.01% alloyed bismuth and silicon each']",['Leaded Brass Scrap Turnings'],['40'],['Nascent']
21,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,,,['Turnings'],,,['Red Brass'],['Should be sold subject to sample or analysis.'],['Red Brass Composition Turnings'],['19'],['Enerv']
22,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,,,['Solids'],['lined and unlined standard red car boxes.'],,['Brass'],"[' and nickel of not more than 0.75%; the antimony content not to exceed 0.50%.', ' a tin content of not less than 6%', ' exclusive of zinc', 'Copper content of not less than 75%', ' and total impurities', ' and a lead content of not less than 6% nor more than 11%', ' antimony']",['Machinery or Hard Brass Solids'],['20'],['Engel']
23,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,,,['Turnings'],"[' manganese and composition turnings', ' grindings and babbitts', 'Aluminum']",,['Yellow brass'],"['Not to contain over 3% of free iron', ' to be sold subject to sample or analysis.', ' oil or other moisture. To avoid dispute']",['Yellow Brass Turnings'],['44'],['Nomad']
24,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,,,['Wire scrap nodules'],['Excessive insulation and other non-metallics'],,['Copper '],"['Unalloyed', ' Chopped or shredded', ' Minimum 99% copper', ' Maximum metal impurities as follows - Aluminum .05% Antimony .01% Tin .25% Iron .05% Nickel .05%']",['Copper Wire Nodules'],['7'],['Cocoa']
25,IS_PROCESSED_WITH,['257'],['Pyrometallurgical'],['Nonferrous Scrap - Red Metals'],,,,,"[' Rolled Shapes', ' Forgings', ' Plate Rods', 'Clippings']",['Chrome or any other plating material'],,['Nickel Silver'],"['New', ' clean. Must be sold on nickel content specifications such as 10%� 12%�15%� 18%�20%. Leaded nickel silver clippings should be packed and sold separately. A description as to its physical characteristics should be made in offering all nickel silver material']",['New Nickel Silver Clippings and Solids'],['34'],['Major']
