,Relationship,full_community_id_src,name_src,Categorisation_trg,Category_trg,Description_trg,Dimensions_trg,EDescription_trg,Form_trg,Free_of_trg,GDescription_trg,Material_trg,Specifications_trg,Title_trg,full_community_id_trg,name_trg
81,IS_PROCESSED_WITH,['690'],['Magnetic Separation'],,['Ferrous'],"['ΠΡΟΚΑΤΕΡΓΑΣΜΕΝΑ ΥΛΙΚΑ ΜΗΧΑΝ.ΑΠΟΣΥΝ(ΥΛΗ)', 'Category']",,,,,,,,,['456'],['40008']
82,IS_PROCESSED_WITH,['690'],['Magnetic Separation'],,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,,,,,,,['437'],['40000']
83,IS_PROCESSED_WITH,['690'],['Magnetic Separation'],,['Ferrous'],"['ΜΗΧΑΝΕΣ ΑΚΑΘΑΡΙΣΤΕΣ  Γ (ΥΛΗ )', 'Category']",,,,,,,,,['458'],['40009']
84,PRODUCES,['691'],['Eddy Current Separation'],['Nonferrous Scrap - Aluminum'],,,,,['Nonferrous Scrap'],"[' or ash', 'Radioactive material', ' dross']",,,"[' magnesium', ' stainless steel', ' nickel', ' and zinc', 'Shall be made up of a combination of the nonferrous metals – aluminum', ' air separation', ' copper', ' or a combination thereof. Shall have passed one or more magnets to reduce or eliminate free iron and/or large iron attachments. Material to be bought/sold under this guideline shall be identified as �Zorba� with a number to follow indicating the estimated percentage nonferrous metal content of the material (e.g.', ' screening', ' flotation', ' tin', ' other segregation technique(s)', ' lead', ' �Zorba 90� means the material contains approximately 90% nonferrous metal content). May also be screened to permit description by specific size ranges. (Refer also to Zorba under Mixed Metals.)', ' in elemental or alloyed (solid) form. Material generated by eddy current']",['Shredded Nonferrous Scrap (predominantly aluminum)'],['97'],['Zorba']
85,IS_PROCESSED_WITH,['691'],['Eddy Current Separation'],,['Ferrous'],"['ΘΕΡΜΟΣΙΦΩΝΕΣ ΑΠΟΡΡΥΠΑΣΜΕΝΟΙ (ΥΛΗ)', 'Category']",,,,,,,,,['452'],['40004']
86,IS_PROCESSED_WITH,['691'],['Eddy Current Separation'],,"['EDescription', 'Non-Ferrous']",,,['ΣΚΡΑΠ ΣΚΕΥΗ - ΔΙΑΦΟΡΑ ΒΑΜΜΕΝΑ ΥΛΗ'],,,"['ALUMINUM SCRAP TAINT TABOR(RAW MATERIAL)', 'Category']",,,,['472'],['40016']
87,IS_PROCESSED_WITH,['691'],['Eddy Current Separation'],,"['EDescription', 'Non-Ferrous']",,,['ΣΚΡΑΠ ΠΛΑΣΤΙΚΟΥ (ΥΛΗ)'],,,"['PLASTIC SCRAP (RAW MATERIAL)', 'Category']",,,,['482'],['40020']
88,IS_PROCESSED_WITH,['691'],['Eddy Current Separation'],,"['EDescription', 'Non-Ferrous']",,,['ΠΡΟΦΥΛΑΚΤΗΡΕΣ ΑΥΤΟΚΙΝΗΤΩΝ ( ΥΛΗ )'],,,"['Category', 'CAR BUMPERS (RAW MATERIAL)']",,,,['483'],['40021']
89,IS_PROCESSED_WITH,['691'],['Eddy Current Separation'],,['Ferrous'],"['ΗΛΕΚΤΡ.ΣΥΣΚ. ΑΠΟΡΡΥΠΑΣΜΕΝΕΣ ΧΥΔΗΝ (ΥΛΗ)', 'Category']",,,,,,,,,['453'],['40005']
90,IS_PROCESSED_WITH,['691'],['Eddy Current Separation'],,['Ferrous'],"['ΣΚΡΑΠ ΑΥΤΟΚΙΝ. ΓΙΑ ΑΛΕΣΗ (ΥΛΗ)', 'Category']",,,,,,,,,['446'],['40002']
91,IS_PROCESSED_WITH,['691'],['Eddy Current Separation'],,['Ferrous'],"['ΠΡΟΚΑΤΕΡΓΑΣΜΕΝΑ ΥΛΙΚΑ ΜΗΧΑΝ.ΑΠΟΣΥΝ(ΥΛΗ)', 'Category']",,,,,,,,,['456'],['40008']
92,IS_PROCESSED_WITH,['691'],['Eddy Current Separation'],,['Ferrous'],"['ΥΛΙΚΑ ΜΗΧΑΝΙΚΗΣ ΑΠΟΣΥΝΑΡΜΟΛΟΓΗΣΗΣ (ΥΛΗ)', 'Category']",,,,,,,,,['445'],['40001']
93,IS_PROCESSED_WITH,['691'],['Eddy Current Separation'],,"['EDescription', 'Non-Ferrous']",,,['ΣΚΡΑΠ ΑΛΟΥΜΙΝΙΟΥ ΠΡΟΣ ΑΛΕΣΗ (ΥΛΗ)'],,,"['ALUMINUM SCRAP FOR SHRED.(RAW MATERIAL)', 'Category']",,,,['474'],['40018']
94,IS_PROCESSED_WITH,['691'],['Eddy Current Separation'],,['Ferrous'],"['ΜΗΧΑΝΕΣ ΑΚΑΘΑΡΙΣΤΕΣ  Β (ΥΛΗ )', 'Category']",,,,,,,,,['461'],['40012']
95,IS_PROCESSED_WITH,['691'],['Eddy Current Separation'],,['Ferrous'],"['ΜΗΧΑΝΕΣ ΑΚΑΘΑΡΙΣΤΕΣ  Α (ΥΛΗ )', 'Category']",,,,,,,,,['460'],['40011']
96,IS_PROCESSED_WITH,['691'],['Eddy Current Separation'],,['Ferrous'],"['Category', 'ΑΠΟΡΡΥΠΑΣΜΕΝΑ ΨΥΓΕΙΑ (ΥΛΗ)']",,,,,,,,,['457'],['40240']
97,IS_PROCESSED_WITH,['691'],['Eddy Current Separation'],,['Ferrous'],"['ΜΗΧΑΝΕΣ ΑΚΑΘΑΡΙΣΤΕΣ  Γ (ΥΛΗ )', 'Category']",,,,,,,,,['458'],['40009']
98,IS_PROCESSED_WITH,['691'],['Eddy Current Separation'],,"['EDescription', 'Non-Ferrous']",,,['ΣΚΡΑΠ ΑΛΟΥΜΙΝΙΟΥ ΑΝΑΜΕΙΚΤΟ (ΥΛΗ )'],,,"['ALUMINUM SCRAP MIXED (RAW MATERIAL)', 'Category']",,,,['473'],['40017']
99,IS_PROCESSED_WITH,['691'],['Eddy Current Separation'],,['Ferrous'],"['ΠΛΥΝΤΗΡΙΑ ΑΠΟΡΡΥΠΑΣΜΕΝΑ (ΥΛΗ)', 'Category']",,,,,,,,,['454'],['40006']
100,IS_PROCESSED_WITH,['691'],['Eddy Current Separation'],,['Ferrous'],"['ΚΟΥΖΙΝΕΣ ΑΠΟΡΡΥΠΑΣΜΕΝΕΣ (ΥΛΗ)', 'Category']",,,,,,,,,['451'],['40003']
101,IS_PROCESSED_WITH,['691'],['Eddy Current Separation'],,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,,,,,,,['437'],['40000']
102,PRODUCES,['692'],['Floatation Separation'],['Nonferrous Scrap - Aluminum'],,,,,['Nonferrous Scrap'],"[' or ash', 'Radioactive material', ' dross']",,,"['Shall be made up of a combination of the nonferrous metals - aluminum', ' magnesium', ' stainless steel', ' nickel', ' and zinc', ' air separation', ' copper', ' or a combination thereof. Shall have passed one or more magnets to reduce or eliminate free iron and/or large iron attachments. Material to be bought/sold under this guideline shall be identified as �Zorba� with a number to follow indicating the estimated percentage nonferrous metal content of the material (e.g.', ' screening', ' flotation', ' tin', ' other segregation technique(s)', ' lead', ' �Zorba 90� means the material contains approximately 90% nonferrous metal content). May also be screened to permit description by specific size ranges. (Refer also to Zorba under Mixed Metals.)', ' in elemental or alloyed (solid) form. Material generated by eddy current']",['Shredded Nonferrous Scrap (predominantly aluminum)'],['97'],['Zorba']
103,PRODUCES,['693'],['Air Separation'],['Nonferrous Scrap - Aluminum'],,,,,['Nonferrous Scrap'],"[' or ash', 'Radioactive material', ' dross']",,,"['Shall be made up of a combination of the nonferrous metals - aluminum', ' magnesium', ' stainless steel', ' nickel', ' and zinc', ' air separation', ' copper', ' or a combination thereof. Shall have passed one or more magnets to reduce or eliminate free iron and/or large iron attachments. Material to be bought/sold under this guideline shall be identified as �Zorba� with a number to follow indicating the estimated percentage nonferrous metal content of the material (e.g.', ' screening', ' flotation', ' tin', ' other segregation technique(s)', ' lead', ' �Zorba 90� means the material contains approximately 90% nonferrous metal content). May also be screened to permit description by specific size ranges. (Refer also to Zorba under Mixed Metals.)', ' in elemental or alloyed (solid) form. Material generated by eddy current']",['Shredded Nonferrous Scrap (predominantly aluminum)'],['97'],['Zorba']
104,PRODUCES,['694'],['Screening'],['Nonferrous Scrap - Aluminum'],,,,,['Nonferrous Scrap'],"[' or ash', 'Radioactive material', ' dross']",,,"['Shall be made up of a combination of the nonferrous metals - aluminum', ' magnesium', ' stainless steel', ' nickel', ' and zinc', ' air separation', ' copper', ' or a combination thereof. Shall have passed one or more magnets to reduce or eliminate free iron and/or large iron attachments. Material to be bought/sold under this guideline shall be identified as �Zorba� with a number to follow indicating the estimated percentage nonferrous metal content of the material (e.g.', ' screening', ' flotation', ' tin', ' other segregation technique(s)', ' lead', ' �Zorba 90� means the material contains approximately 90% nonferrous metal content). May also be screened to permit description by specific size ranges. (Refer also to Zorba under Mixed Metals.)', ' in elemental or alloyed (solid) form. Material generated by eddy current']",['Shredded Nonferrous Scrap (predominantly aluminum)'],['97'],['Zorba']
