,Relationship,Category_src,Description_src,EDescription_src,GDescription_src,full_community_id_src,name_src,Categorisation_trg,Category_trg,Description_trg,Dimensions_trg,Form_trg,Free_of_trg,Material_trg,Specifications_trg,Title_trg,ewc_trg,finalValue_trg,full_community_id_trg,name_trg,orderCount_trg,startingValue_trg,startingWeight_trg,waste_trg,wastePercentage_trg
218,SUPPLIES,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΑΛΟΥΜΙΝΙΟΥ ΑΝΑΜΕΙΚΤΟ (ΥΛΗ )'],"['ALUMINUM SCRAP MIXED (RAW MATERIAL)', 'Category']",['473'],['40017'],,,,,,,,,,"['[160801 191203 160122 160118 191202 191212]', 'startingWeight']",['65973.51'],"['1246', 'startingValue']","['ΛΑΒΔΑΡΑΣ ΧΡΗΣΤΟΣ & ΥΙΟΙ ΟΕ (ΤΟΜ.ΜΕΤ', 'orderCount']","['30', 'finalValue']",['66003.81'],"['wastePercentage', '85646.0']","['40.0', 'ewc']",['0.2']
219,IS_PROCESSED_WITH,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΑΛΟΥΜΙΝΙΟΥ ΑΝΑΜΕΙΚΤΟ (ΥΛΗ )'],"['ALUMINUM SCRAP MIXED (RAW MATERIAL)', 'Category']",['473'],['40017'],,,,,,,,,,,,['690'],['Magnetic Separation'],,,,,
220,IS_PROCESSED_WITH,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΑΛΟΥΜΙΝΙΟΥ ΑΝΑΜΕΙΚΤΟ (ΥΛΗ )'],"['ALUMINUM SCRAP MIXED (RAW MATERIAL)', 'Category']",['473'],['40017'],,,,,,,,,,,,['691'],['Eddy Current Separation'],,,,,
221,IS_PROCESSED_WITH,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΑΛΟΥΜΙΝΙΟΥ ΑΝΑΜΕΙΚΤΟ (ΥΛΗ )'],"['ALUMINUM SCRAP MIXED (RAW MATERIAL)', 'Category']",['473'],['40017'],,,,,,,,,,,,['689'],['Shredder'],,,,,
222,SUPPLIES,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΑΛΟΥΜΙΝΙΟΥ ΠΡΟΣ ΑΛΕΣΗ (ΥΛΗ)'],"['ALUMINUM SCRAP FOR SHRED.(RAW MATERIAL)', 'Category']",['474'],['40018'],,,,,,,,,,"['waste', '[170405 191202 200135 170411 150104 200136 191001 170402 191212 160216]']","['startingValue', '648705.707']","['finalValue', '969']",['ΕΛΒΑΛΧΑΛΚΟΡ ΑΕ'],['348'],['664663.1203'],"['4017624.0', 'wastePercentage']","['startingWeight', '109286.0']","['2.5', 'orderCount']"
223,,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΑΛΟΥΜΙΝΙΟΥ ΠΡΟΣ ΑΛΕΣΗ (ΥΛΗ)'],"['ALUMINUM SCRAP FOR SHRED.(RAW MATERIAL)', 'Category']",['474'],['40018'],,,,,,,,,,['[170405 150104 200140 200136 170402 120101 191202 191203 160106 120104'],,,,,,,,
224,IS_PROCESSED_WITH,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΑΛΟΥΜΙΝΙΟΥ ΠΡΟΣ ΑΛΕΣΗ (ΥΛΗ)'],"['ALUMINUM SCRAP FOR SHRED.(RAW MATERIAL)', 'Category']",['474'],['40018'],,,,,,,,,,,,['690'],['Magnetic Separation'],,,,,
225,IS_PROCESSED_WITH,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΑΛΟΥΜΙΝΙΟΥ ΠΡΟΣ ΑΛΕΣΗ (ΥΛΗ)'],"['ALUMINUM SCRAP FOR SHRED.(RAW MATERIAL)', 'Category']",['474'],['40018'],,,,,,,,,,,,['691'],['Eddy Current Separation'],,,,,
226,IS_PROCESSED_WITH,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΑΛΟΥΜΙΝΙΟΥ ΠΡΟΣ ΑΛΕΣΗ (ΥΛΗ)'],"['ALUMINUM SCRAP FOR SHRED.(RAW MATERIAL)', 'Category']",['474'],['40018'],,,,,,,,,,,,['689'],['Shredder'],,,,,
227,SUPPLIES,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΚΑΛΩΔΙΩΝ ΑΛΟΥΜΙΝΙΟΥ ΕΠΕΝΔ.(ΥΛΗ)'],"['ALUMINUM SCRAP CABLES( RAW )', 'Category']",['476'],['40092'],,,,,,,,,,"['startingWeight', '[160801 170411 170402 160118 170401 170407 170405 191203]']",['607650.775'],"['startingValue', '1233']","['ΘΩΜΑΔΑΚΗΣ Α.Ε. (ΤΟΜΕΑΣ ΜΕΤΑΛΛΟΥ)', 'orderCount']","['finalValue', '54']",['609950.6849999999'],"['691758.0', 'wastePercentage']","['2138.0', 'ewc']",['0.3']
228,SUPPLIES,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΚΑΛΩΔΙΩΝ ΑΛΟΥΜΙΝΙΟΥ ΕΠΕΝΔ.(ΥΛΗ)'],"['ALUMINUM SCRAP CABLES( RAW )', 'Category']",['476'],['40092'],,,,,,,,,,"['startingWeight', '[200136 170411 170402 160104 120101]']","['startingValue', '25870.795000000002']","['finalValue', '1053']",['ΣΩΛΗΝΟΥΡΓΕΙΑ ΚΟΡΙΝΘΟΥ ΒΙΟΜ. ΣΩΛΗΝΩΝ'],"['34', 'wastePercentage']",['36846.945'],"['265537.0', 'orderCount']","['54535.0', 'ewc']",['11.7']
229,SUPPLIES,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΚΑΛΩΔΙΩΝ ΑΛΟΥΜΙΝΙΟΥ ΕΠΕΝΔ.(ΥΛΗ)'],"['ALUMINUM SCRAP CABLES( RAW )', 'Category']",['476'],['40092'],,,,,,,,,,"['waste', '[170405 191202 200135 170411 150104 200136 191001 170402 191212 160216]']","['startingValue', '648705.707']","['finalValue', '969']",['ΕΛΒΑΛΧΑΛΚΟΡ ΑΕ'],['348'],['664663.1203'],"['4017624.0', 'wastePercentage']","['startingWeight', '109286.0']","['2.5', 'orderCount']"
230,SUPPLIES,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΚΑΛΩΔΙΩΝ ΑΛΟΥΜΙΝΙΟΥ ΕΠΕΝΔ.(ΥΛΗ)'],"['ALUMINUM SCRAP CABLES( RAW )', 'Category']",['476'],['40092'],,,,,,,,,,"['[170411 160801 191203]', 'startingWeight']","['startingValue', '32243.21']","['finalValue', '1005']","['ΔΗΜΟΠΟΥΛΟΣ  ΑΘ. ΔΗΜΟΣΘΕΝΗΣ', 'orderCount']",['5'],['32251.71'],"['15978.0', 'wastePercentage']","['10.0', 'ewc']",['0.0']
231,SUPPLIES,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΚΑΛΩΔΙΩΝ ΑΛΟΥΜΙΝΙΟΥ ΕΠΕΝΔ.(ΥΛΗ)'],"['ALUMINUM SCRAP CABLES( RAW )', 'Category']",['476'],['40092'],,,,,,,,,,"['startingWeight', '[200140 170411 191203]']","['startingValue', '47550.07']","['finalValue', '1210']","['ALSTOM TRANSPORT AE (ΤΟΜ.ΜΕΤΑΛΛΟΥ)', 'orderCount']",['9'],['49379.42'],"['30130.0', 'wastePercentage']","['501.0', 'ewc']",['6.3']
232,IS_EQUIVALENT_TO,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΨΥΓΕΙΩΝ ΑΛΟΥΜΙΝΙΟΥ/ΧΑΛΚΟΥ(ΥΛΗ)'],"['ALUMINUM SCRAP TALK AS AS PER ISRI(RAW)', 'Category']",['477'],['40093'],['Nonferrous Scrap - Aluminum'],,,,"['Radiators', ' Fins on copper tubing']","['Brass tubing', ' iron and other foreign contamination']",['Aluminum/Copper'],['Clean'],['Aluminum Copper Radiators'],,,['61'],['Talk'],,,,,
233,,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΑΓΩΓΟΥ ACSR (ΥΛΗ)'],"['SCRAP WIRE ACSR (RAW)', 'Category']",['479'],['40120'],,,,,,,,,,['[170405 150104 200140 200136 170402 120101 191202 191203 160106 120104'],,,,,,,,
234,SUPPLIES,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΑΓΩΓΟΥ ACSR (ΥΛΗ)'],"['SCRAP WIRE ACSR (RAW)', 'Category']",['479'],['40120'],,,,,,,,,,"['startingWeight', '[200140 170411 191203]']","['startingValue', '47550.07']","['finalValue', '1210']","['ALSTOM TRANSPORT AE (ΤΟΜ.ΜΕΤΑΛΛΟΥ)', 'orderCount']",['9'],['49379.42'],"['30130.0', 'wastePercentage']","['501.0', 'ewc']",['6.3']
235,SUPPLIES,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ETALBOND (ΥΛΗ)'],"['SCRAP ETALBOND (RAW)', 'Category']",['481'],['40180'],,,,,,,,,,"['[170402 170405]', 'waste']","['startingValue', '18926.985']","['finalValue', '1041']",['ELVAL COLOUR AE'],"['wastePercentage', '9']",['19089.405000000002'],"['110902.0', 'orderCount']","['startingWeight', '285.0']",['2.8']
236,IS_PROCESSED_WITH,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΠΛΑΣΤΙΚΟΥ (ΥΛΗ)'],"['PLASTIC SCRAP (RAW MATERIAL)', 'Category']",['482'],['40020'],,,,,,,,,,,,['691'],['Eddy Current Separation'],,,,,
237,IS_PROCESSED_WITH,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΠΛΑΣΤΙΚΟΥ (ΥΛΗ)'],"['PLASTIC SCRAP (RAW MATERIAL)', 'Category']",['482'],['40020'],,,,,,,,,,,,['690'],['Magnetic Separation'],,,,,
238,IS_PROCESSED_WITH,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΠΛΑΣΤΙΚΟΥ (ΥΛΗ)'],"['PLASTIC SCRAP (RAW MATERIAL)', 'Category']",['482'],['40020'],,,,,,,,,,,,['689'],['Shredder'],,,,,
239,IS_PROCESSED_WITH,"['Non-Ferrous', 'EDescription']",,['ΠΡΟΦΥΛΑΚΤΗΡΕΣ ΑΥΤΟΚΙΝΗΤΩΝ ( ΥΛΗ )'],"['CAR BUMPERS (RAW MATERIAL)', 'Category']",['483'],['40021'],,,,,,,,,,,,['689'],['Shredder'],,,,,
240,IS_PROCESSED_WITH,"['Non-Ferrous', 'EDescription']",,['ΠΡΟΦΥΛΑΚΤΗΡΕΣ ΑΥΤΟΚΙΝΗΤΩΝ ( ΥΛΗ )'],"['CAR BUMPERS (RAW MATERIAL)', 'Category']",['483'],['40021'],,,,,,,,,,,,['691'],['Eddy Current Separation'],,,,,
241,IS_PROCESSED_WITH,"['Non-Ferrous', 'EDescription']",,['ΠΡΟΦΥΛΑΚΤΗΡΕΣ ΑΥΤΟΚΙΝΗΤΩΝ ( ΥΛΗ )'],"['CAR BUMPERS (RAW MATERIAL)', 'Category']",['483'],['40021'],,,,,,,,,,,,['690'],['Magnetic Separation'],,,,,
242,SUPPLIES,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α1'],"['COPPER SCRAP MILLBERRY AS PER ISRI', 'Category']",['487'],['50018'],,,,,,,,,,"['waste', '[170411]']","['20871.940000000002', 'startingValue']","['976', 'finalValue']",['ΚΑΥΚΑΣ Β.  ΑΕ'],"['8', 'wastePercentage']",['21163.54'],"['7970.0', 'orderCount']","['startingWeight', '60.0']",['0.3']
243,SUPPLIES,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α1'],"['COPPER SCRAP MILLBERRY AS PER ISRI', 'Category']",['487'],['50018'],,,,,,,,,,"['startingWeight', '[170401]']","['startingValue', '20387.84']","['1004', 'finalValue']","['ΒΙΟΚΑΛΩΔΙΑ  ΕΠΕ', 'orderCount']",['1'],['20447.700000000004'],"['wastePercentage', '4460.0']","['13.0', 'ewc']",['0.3']
244,SUPPLIES,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α1'],"['COPPER SCRAP MILLBERRY AS PER ISRI', 'Category']",['487'],['50018'],,,,,,,,,,"['startingWeight', '[191203 191212 191202 160122]']",['93284.775'],"['1261', 'startingValue']","['ΛΑΣΚΑΡΙΔΗΣ METAL SCRAP ΙΚΕ (ΤΟΜ.ΜΕΤ', 'orderCount']","['finalValue', '14']",['93608.125'],"['67780.0', 'wastePercentage']","['191.0', 'ewc']",['0.7']
245,SUPPLIES,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α1'],"['COPPER SCRAP MILLBERRY AS PER ISRI', 'Category']",['487'],['50018'],,,,,,,,,,"['startingWeight', '[170411 191203 191202 191212]']",['37514.525'],"['startingValue', '1198']","['GREEK METAL RECYCLING ΜΟΝ.ΕΠΕ(ΤΟΜ.Μ', 'orderCount']","['finalValue', '18']",['37721.375'],"['35115.0', 'wastePercentage']","['169.0', 'ewc']",['0.7']
246,SUPPLIES,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α1'],"['COPPER SCRAP MILLBERRY AS PER ISRI', 'Category']",['487'],['50018'],,,,,,,,,,"['startingWeight', '[191203]']","['197403.925', 'startingValue']","['finalValue', '968']","['ΦΙΛΙΠΠΙΔΗΣ Φ.ΑΝΩΝ.ΕΜΠΟΡ.ΕΤΑΙΡΕΙΑ', 'orderCount']",['10'],['197594.825'],"['168295.0', 'wastePercentage']","['105.0', 'ewc']",['0.3']
247,SUPPLIES,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α1'],"['COPPER SCRAP MILLBERRY AS PER ISRI', 'Category']",['487'],['50018'],,,,,,,,,,"['waste', '[191001 191002 191202]']","['startingValue', '147836.575']","['finalValue', '1023']","['ΠΑΠΑΛΕΞΗΣ Ι. & Ε. ΙΚΕ', 'orderCount']",['30'],['150042.3'],"['555190.0', 'wastePercentage']","['startingWeight', '15230.0']",['1.7']
248,SUPPLIES,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α1'],"['COPPER SCRAP MILLBERRY AS PER ISRI', 'Category']",['487'],['50018'],,,,,,,,,,"['startingWeight', '[160801 170402 170411 191203 191001 170403 160118 200140 120103]']",['382737.077'],"['startingValue', '977']","['ΑΕΙΦΟΡΟΣ ΕΤΑΙΡ ΕΠΕΞΕΡΓ ΜΕΤΑΛΛΩΝ ΑΕ', 'orderCount']","['finalValue', '32']",['382941.537'],"['376213.0', 'wastePercentage']","['108.0', 'ewc']",['0.5']
249,SUPPLIES,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α1'],"['COPPER SCRAP MILLBERRY AS PER ISRI', 'Category']",['487'],['50018'],,,,,,,,,,"['waste', '[191203 191001 191202 191212 160117 160122 160118]']","['startingValue', '3345442.605']","['finalValue', '1064']",['AK METAL SCRAP ΕΠΕ'],['681'],['3362944.715'],"['3914274.0', 'wastePercentage']","['startingWeight', '20541.0']","['0.8', 'orderCount']"
250,SUPPLIES,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α1'],"['COPPER SCRAP MILLBERRY AS PER ISRI', 'Category']",['487'],['50018'],,,,,,,,,,"['startingWeight', '[170411 191203]']","['118603.625', 'startingValue']","['1007', 'finalValue']","['ΘΕΟΦΥΛΑΚΤΙΔΗΣ ΙΩΑΝΝΗΣ', 'orderCount']",['11'],['118959.625'],"['48430.0', 'wastePercentage']","['400.0', 'ewc']",['0.3']
251,SUPPLIES,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α1'],"['COPPER SCRAP MILLBERRY AS PER ISRI', 'Category']",['487'],['50018'],,,,,,,,,,"['startingWeight', '[170407 191202 150104 170402 170401 191203]']",['361317.28'],"['1003', 'startingValue']","['ΑΦΟΙ ΜΠΟΥΡΑ Ο.Ε.', 'orderCount']","['finalValue', '59']",['361759.65'],"['415380.0', 'wastePercentage']","['474.0', 'ewc']",['0.2']
252,SUPPLIES,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α1'],"['COPPER SCRAP MILLBERRY AS PER ISRI', 'Category']",['487'],['50018'],,,,,,,,,,"['startingWeight', '[191203 170401 170402 191202 170407 120103 170403 160122]']",['386102.215'],"['startingValue', '1258']","['ΣΩΤΗΡΙΟΥ ΔΗΜΗΤΡΙΟΣ ΜΟΝ. ΕΠΕ (ΤΟΜ.ΜΕ', 'orderCount']","['finalValue', '116']",['386916.24'],"['327965.0', 'wastePercentage']","['427.0', 'ewc']",['0.3']
253,SUPPLIES,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α1'],"['COPPER SCRAP MILLBERRY AS PER ISRI', 'Category']",['487'],['50018'],,,,,,,,,,"['waste', '[170401 191203]']",['17338.41'],"['1056', 'startingValue']","['ΑΝΑΚΥΚΛΩΣΗ ΜΑΓΝΗΣΙΑΣ ΜΟΝΟΠΡΟΣΩΠΗ Ι.', 'orderCount']","['finalValue', '2']",['17338.41'],"['6999.0', 'wastePercentage']","['startingWeight', '0.0']",['0.0']
254,SUPPLIES,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α1'],"['COPPER SCRAP MILLBERRY AS PER ISRI', 'Category']",['487'],['50018'],,,,,,,,,,"['startingWeight', '[160122 191203 191202 191212]']",['1468861.155'],"['startingValue', '1245']","['ΚΟΣΜΙΔΗΣ Δ. & ΣΙΑ ΕΕ (ΤΟΜ.ΜΕΤΑΛΛΟΥ)', 'orderCount']","['finalValue', '272']",['1470152.3800000001'],"['1068338.0', 'wastePercentage']","['964.0', 'ewc']",['0.2']
255,SUPPLIES,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α1'],"['COPPER SCRAP MILLBERRY AS PER ISRI', 'Category']",['487'],['50018'],,,,,,,,,,"['startingWeight', '[160801 170411 170402 160118 170401 170407 170405 191203]']",['607650.775'],"['startingValue', '1233']","['ΘΩΜΑΔΑΚΗΣ Α.Ε. (ΤΟΜΕΑΣ ΜΕΤΑΛΛΟΥ)', 'orderCount']","['finalValue', '54']",['609950.6849999999'],"['691758.0', 'wastePercentage']","['2138.0', 'ewc']",['0.3']
256,SUPPLIES,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α1'],"['COPPER SCRAP MILLBERRY AS PER ISRI', 'Category']",['487'],['50018'],,,,,,,,,,"['startingWeight', '[191203 191202]']","['startingValue', '35244.575000000004']","['1242', 'finalValue']","['ΟΙΚΟ ΚΥΚΛΙΟΣ ΑΝΑΚΥΚΛΩΣΗ ΑΒΕΕ (ΤΟΜ.Μ', 'orderCount']",['8'],['35479.075'],"['30450.0', 'wastePercentage']","['148.0', 'ewc']",['0.5']
257,SUPPLIES,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α1'],"['COPPER SCRAP MILLBERRY AS PER ISRI', 'Category']",['487'],['50018'],,,,,,,,,,"['startingWeight', '[200140 170411 191203]']","['startingValue', '47550.07']","['finalValue', '1210']","['ALSTOM TRANSPORT AE (ΤΟΜ.ΜΕΤΑΛΛΟΥ)', 'orderCount']",['9'],['49379.42'],"['30130.0', 'wastePercentage']","['501.0', 'ewc']",['6.3']
258,SUPPLIES,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α1'],"['COPPER SCRAP MILLBERRY AS PER ISRI', 'Category']",['487'],['50018'],,,,,,,,,,"['[191202 191203 120101]', 'startingWeight']","['startingValue', '383867.245']","['finalValue', '1044']","['ΜΙΧΑΛΟΠΟΥΛΟΣ Φ. ΑΝΑΣΤΑΣΙΟΣ', 'orderCount']",['138'],['384503.1'],"['wastePercentage', '357280.0']","['543.0', 'ewc']",['0.2']
259,SUPPLIES,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α1'],"['COPPER SCRAP MILLBERRY AS PER ISRI', 'Category']",['487'],['50018'],,,,,,,,,,"['startingWeight', '[191202 160801 191203 160118 160122 170411 191212]']","['962668.699', 'startingValue']","['1224', 'finalValue']",['ΑΡΓΥΡΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ & ΣΙΑ ΟΕ(ΤΟΜ.'],"['277', 'wastePercentage']",['975533.679'],"['6766012.0', 'orderCount']","['98985.0', 'ewc']",['1.0']
260,SUPPLIES,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α1'],"['COPPER SCRAP MILLBERRY AS PER ISRI', 'Category']",['487'],['50018'],,,,,,,,,,"['startingWeight', '[160122 191203 170402 191202]']",['58793.82'],"['1249', 'startingValue']","['ΛΑΔΑΣ Ι. ΓΕΩΡΓΙΟΣ & ΣΙΑ ΟΕ (ΤΟΜ.ΜΕΤ', 'orderCount']","['finalValue', '10']",['59144.43'],"['68615.0', 'wastePercentage']","['323.0', 'ewc']",['0.5']
261,SUPPLIES,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α1'],"['COPPER SCRAP MILLBERRY AS PER ISRI', 'Category']",['487'],['50018'],,,,,,,,,,"['[160122 191203 170407 170404 170405 170401 170403 170402 160118]', 'startingWeight']",['251764.07'],"['1216', 'startingValue']","['RISE ΜΟΝΟΠΡΟΣΩΠΗ ΑΕ (ΤΟΜΕΑΣ ΜΕΤΑΛΛΟ', 'orderCount']","['finalValue', '105']",['253208.42'],"['292749.0', 'wastePercentage']","['1617.0', 'ewc']",['1.0']
262,SUPPLIES,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α1'],"['COPPER SCRAP MILLBERRY AS PER ISRI', 'Category']",['487'],['50018'],,,,,,,,,,"['startingWeight', '[191203]']","['startingValue', '29710.899999999998']","['finalValue', '1001']","['ΑΝΑΚΥΚΛΩΣΗ ΛΕΣΒΟΥ ΒΟΥΝΑΤΣΟΣ Δ.& ΧΑΡ', 'orderCount']",['2'],['29858.75'],"['wastePercentage', '7010.0']","['35.0', 'ewc']",['0.5']
263,IS_EQUIVALENT_TO,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α1'],"['COPPER SCRAP MILLBERRY AS PER ISRI', 'Category']",['487'],['50018'],['Nonferrous Scrap - Red Metals'],,,['Wire gauge subject to agreement between buyer and seller'],['Wire '],,['Copper '],"['Bare', ' Unalloyed', ' Uncoated']",['No. 1 Copper Wire'],,,['0'],['Berry'],,,,,
264,SUPPLIES,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ A1 ΤΡΙΜΜΑ'],"['COPPER SCRAP CLOVE AS PER ISRI (A1)', 'Category']",['488'],['50019'],,,,,,,,,,"['startingWeight', '[191203 170401 170402 191202 170407 120103 170403 160122]']",['386102.215'],"['startingValue', '1258']","['ΣΩΤΗΡΙΟΥ ΔΗΜΗΤΡΙΟΣ ΜΟΝ. ΕΠΕ (ΤΟΜ.ΜΕ', 'orderCount']","['finalValue', '116']",['386916.24'],"['327965.0', 'wastePercentage']","['427.0', 'ewc']",['0.3']
265,SUPPLIES,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ A1 ΤΡΙΜΜΑ'],"['COPPER SCRAP CLOVE AS PER ISRI (A1)', 'Category']",['488'],['50019'],,,,,,,,,,"['startingWeight', '[191203]']","['197403.925', 'startingValue']","['finalValue', '968']","['ΦΙΛΙΠΠΙΔΗΣ Φ.ΑΝΩΝ.ΕΜΠΟΡ.ΕΤΑΙΡΕΙΑ', 'orderCount']",['10'],['197594.825'],"['168295.0', 'wastePercentage']","['105.0', 'ewc']",['0.3']
266,SUPPLIES,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ A1 ΤΡΙΜΜΑ'],"['COPPER SCRAP CLOVE AS PER ISRI (A1)', 'Category']",['488'],['50019'],,,,,,,,,,"['startingWeight', '[170401 170402 170407 170405]']",['91280.36'],"['1028', 'startingValue']","['ΧΑΤΖΗΙΩΑΝΝΟΥ Π. & Ι. ΟΕ', 'orderCount']","['finalValue', '18']",['91373.5'],"['44097.0', 'wastePercentage']","['57.0', 'ewc']",['0.1']
267,IS_EQUIVALENT_TO,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ A1 ΤΡΙΜΜΑ'],"['COPPER SCRAP CLOVE AS PER ISRI (A1)', 'Category']",['488'],['50019'],['Nonferrous Scrap - Red Metals'],,,['Gauge smaller than No. 16 B & S wire subject to agreement between buyer and seller'],['Wire scrap nodules'],"[' other foreign contamination', ' Insulation', ' Lead', ' Aluminum', ' Other metallic impurities', ' Iron', 'Tin', ' Zinc']",['[Copper '],"['Uncoated', ' Unalloyed', ' Chopped or Shredded']",['No. 1 Copper Wire Nodules'],,,['5'],['Clove'],,,,,
268,SUPPLIES,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α2'],"['COPPER SCRAP NEW CANDY', 'Category']",['489'],['50020'],,,,,,,,,,"['startingWeight', '[191203]']","['197403.925', 'startingValue']","['finalValue', '968']","['ΦΙΛΙΠΠΙΔΗΣ Φ.ΑΝΩΝ.ΕΜΠΟΡ.ΕΤΑΙΡΕΙΑ', 'orderCount']",['10'],['197594.825'],"['168295.0', 'wastePercentage']","['105.0', 'ewc']",['0.3']
269,IS_EQUIVALENT_TO,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α2'],"['COPPER SCRAP NEW CANDY', 'Category']",['489'],['50020'],['Nonferrous Scrap - Red Metals'],,,,"[' commutator segments', 'Clippings', ' punchings', ' bus bars', ' copper tubing']",,['Copper '],"[' unalloyed', 'clean', ' uncoated']",['No. 1 Heavy Copper Solids and Tubing'],,,['3'],['Candy'],,,,,
270,IS_EQUIVALENT_TO,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α2 ΤΡΙΜΜΑ'],"['COPPER SCRAP CLOVE AS PER ISRI (A2)', 'Category']",['490'],['50021'],['Nonferrous Scrap - Red Metals'],,,['Gauge smaller than No. 16 B & S wire subject to agreement between buyer and seller'],['Wire scrap nodules'],"[' other foreign contamination', ' Insulation', ' Lead', ' Aluminum', ' Other metallic impurities', ' Iron', 'Tin', ' Zinc']",['[Copper '],"['Uncoated', ' Unalloyed', ' Chopped or Shredded']",['No. 1 Copper Wire Nodules'],,,['5'],['Clove'],,,,,
271,SUPPLIES,"['Non-Ferrous', 'EDescription']",,['ΣΚΡΑΠ ΧΑΛΚΟΥ Α3'],"['COPPER SCRAP SOUDRONIC AS PER ISRI', 'Category']",['491'],['50022'],,,,,,,,,,"['waste', '[191203 191001 191202 191212 160117 160122 160118]']","['startingValue', '3345442.605']","['finalValue', '1064']",['AK METAL SCRAP ΕΠΕ'],['681'],['3362944.715'],"['3914274.0', 'wastePercentage']","['startingWeight', '20541.0']","['0.8', 'orderCount']"
