,Relationship,Category_src,Description_src,EDescription_src,GDescription_src,full_community_id_src,name_src,Categorisation_trg,Category_trg,Description_trg,Dimensions_trg,Form_trg,Free_of_trg,Material_trg,Specifications_trg,Title_trg,ewc_trg,finalValue_trg,full_community_id_trg,name_trg,orderCount_trg,startingValue_trg,startingWeight_trg,waste_trg,wastePercentage_trg
15,SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['waste', '[200140 191202 200136]']","['234.01', 'startingValue']","['finalValue', '1265']","['SPECIFAR Α.Β.Ε.Ε. (ΤΟΜ.ΣΙΔΗΡΟΥ)', 'orderCount']",['3'],['234.01'],"['1730.0', 'wastePercentage']","['startingWeight', '0.0']",['0.0']
16,SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['[170405 150104 200136 170401 170407]', 'startingWeight']","['61646.98', 'startingValue']","['finalValue', '986']",['FITCO AE'],['23'],['62166.95'],"['294315.0', 'wastePercentage']","['2300.0', 'ewc']","['1.0', 'orderCount']"
17,SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['waste', '[170405 191202 200135 170411 150104 200136 191001 170402 191212 160216]']","['startingValue', '648705.707']","['finalValue', '969']",['ΕΛΒΑΛΧΑΛΚΟΡ ΑΕ'],['348'],['664663.1203'],"['4017624.0', 'wastePercentage']","['startingWeight', '109286.0']","['2.5', 'orderCount']"
18,SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['waste', '[200140]']",['482.0'],"['1264', 'startingValue']","['SPECIFAR Α.Β.Ε.Ε. (ΤΟΜ.ΜΕΤΑΛΛΟΥ)', 'orderCount']","['finalValue', '4']",['538.5'],"['2900.0', 'wastePercentage']","['startingWeight', '270.0']",['9.7']
19,SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['startingWeight', '[200140 170411 191203]']","['startingValue', '47550.07']","['finalValue', '1210']","['ALSTOM TRANSPORT AE (ΤΟΜ.ΜΕΤΑΛΛΟΥ)', 'orderCount']",['9'],['49379.42'],"['30130.0', 'wastePercentage']","['501.0', 'ewc']",['6.3']
20,SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['waste', '[170405 170411 200136]']","['startingValue', '50076.51765']","['finalValue', '1042']","['ΒΕΠΑΛ ΑΕ', 'orderCount']",['25'],['51660.63765'],"['389530.0', 'wastePercentage']","['startingWeight', '11120.0']",['8.4']
21,SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['startingWeight', '[200140]']","['startingValue', '35329.2']","['finalValue', '1078']","['VENUS HOUSEWARE IKE', 'orderCount']",['15'],['35338.4'],"['64960.0', 'wastePercentage']","['10.0', 'ewc']",['0.0']
22,SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['startingWeight', '[150104 160104 160106 191202]']","['startingValue', '187110.345']","['finalValue', '1240']",['ΚΑΤΣΟΥΛΗΣ ΑΓΓΕΛΟΣ ΜΟΝ.ΕΠΕ (ΤΟΜ.ΣΙΔΗ'],"['52', 'wastePercentage']",['189210.915'],"['1375710.0', 'orderCount']","['19617.0', 'ewc']",['1.3']
23,SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['startingWeight', '[191202 191203 160216]']","['startingValue', '5414.45']","['finalValue', '1218']","['ΑΝΑΚΥΚΛΩΣΗ ΑΙΓΑΙΟΥ ΧΥΤΗΡΙΑ ΑΒΕΕ(ΤΟΜ', 'orderCount']",['4'],['5451.924999999999'],"['21685.0', 'wastePercentage']","['275.0', 'ewc']",['1.1']
24,SUPPLIES,['Ferrous'],"['ΣΚΡΑΠ ΨΑΛΙΔΙΣΜΕΝΟ ΠΥΚΝ >450 ΚG/M3 (ΥΛΗ)', 'Category']",,,['437'],['40000'],,,,,,,,,,"['startingWeight', '[200135 191202]']",['6323.24'],"['1035', 'startingValue']","['ΤΡΑΠΕΖΑ ΠΕΙΡΑΙΩΣ Α.Ε.', 'orderCount']","['finalValue', '8']",['6323.24'],"['wastePercentage', '62100.0']","['0.0', 'ewc']",['0.0']
